"","hojas","min_data","bines","lerners....l","profundidad....p","lambda....l2","exactitud","precision","precision_secundaria","promedio"
"1",15,5,20,0.01,3,0,0.645762132604238,0.678760952733556,0.604519774011299,0.643014286449698
"2",15,5,20,0.01,3,0.5,0.645800106326422,0.678822658274713,0.604519774011299,0.643047512870811
"3",15,5,20,0.01,3,1,0.645838080048606,0.678884363815871,0.604519774011299,0.643080739291925
"4",15,5,20,0.01,3,1.5,0.640749601275917,0.674256448229051,0.598870056497175,0.637958702000714
"5",15,5,20,0.01,3,2,0.640749601275917,0.674256448229051,0.598870056497175,0.637958702000714
"6",15,5,20,0.01,3,2.5,0.645800106326422,0.678822658274713,0.604519774011299,0.643047512870811
"7",15,5,20,0.01,3,3,0.645800106326422,0.678822658274713,0.604519774011299,0.643047512870811
"8",15,5,20,0.01,4,0,0.655825168983064,0.687831667283722,0.615819209039548,0.653158681768778
"9",15,5,20,0.01,4,0.5,0.650812637654743,0.683327162779218,0.610169491525424,0.648103097319795
"10",15,5,20,0.01,4,1,0.650812637654743,0.683327162779218,0.610169491525424,0.648103097319795
"11",15,5,20,0.01,4,1.5,0.645800106326422,0.678822658274713,0.604519774011299,0.643047512870811
"12",15,5,20,0.01,4,2,0.640749601275917,0.674256448229051,0.598870056497175,0.637958702000714
"13",15,5,20,0.01,4,2.5,0.640749601275917,0.674256448229051,0.598870056497175,0.637958702000714
"14",15,5,20,0.01,4,3,0.635699096225412,0.669690238183389,0.593220338983051,0.632869891130617
"15",15,5,20,0.01,5,0,0.645800106326422,0.678822658274713,0.604519774011299,0.643047512870811
"16",15,5,20,0.01,5,0.5,0.665926179084074,0.696964087375046,0.627118644067797,0.663336303508972
"17",15,5,20,0.01,5,1,0.645838080048606,0.678884363815871,0.604519774011299,0.643080739291925
"18",15,5,20,0.01,5,1.5,0.650926558821296,0.68351227940269,0.610169491525424,0.648202776583137
"19",15,5,20,0.01,5,2,0.665926179084074,0.696964087375046,0.627118644067797,0.663336303508972
"20",15,5,20,0.01,5,2.5,0.665926179084074,0.696964087375046,0.627118644067797,0.663336303508972
"21",15,5,20,0.01,5,3,0.655901116427432,0.687955078366037,0.615819209039548,0.653225134611006
"22",15,5,20,0.01,6,0,0.660989595200121,0.692582993952857,0.621468926553672,0.658347171902217
"23",15,5,20,0.01,6,0.5,0.650926558821296,0.68351227940269,0.610169491525424,0.648202776583137
"24",15,5,20,0.01,6,1,0.655939090149616,0.688016783907195,0.615819209039548,0.65325836103212
"25",15,5,20,0.01,6,1.5,0.671052631578947,0.701653708503024,0.632768361581921,0.668491567221297
"26",15,5,20,0.01,6,2,0.660913647755753,0.692459582870542,0.621468926553672,0.658280719059989
"27",15,5,20,0.01,6,2.5,0.665964152806258,0.697025792916204,0.627118644067797,0.663369529930086
"28",15,5,20,0.01,6,3,0.665926179084074,0.696964087375046,0.627118644067797,0.663336303508972
"29",15,5,20,0.01,7,0,0.645876053770791,0.678946069357028,0.604519774011299,0.643113965713039
"30",15,5,20,0.01,7,0.5,0.650926558821296,0.68351227940269,0.610169491525424,0.648202776583137
"31",15,5,20,0.01,7,1,0.645876053770791,0.678946069357028,0.604519774011299,0.643113965713039
"32",15,5,20,0.01,7,1.5,0.640825548720286,0.674379859311366,0.598870056497175,0.638025154842942
"33",15,5,20,0.01,7,2,0.645876053770791,0.678946069357028,0.604519774011299,0.643113965713039
"34",15,5,20,0.01,7,2.5,0.650926558821296,0.68351227940269,0.610169491525424,0.648202776583137
"35",15,5,20,0.01,7,3,0.650888585099111,0.683450573861533,0.610169491525424,0.648169550162023
"36",15,5,20,0.01,8,0,0.655901116427432,0.687955078366037,0.615819209039548,0.653225134611006
"37",15,5,20,0.01,8,0.5,0.645876053770791,0.678946069357028,0.604519774011299,0.643113965713039
"38",15,5,20,0.01,8,1,0.650888585099111,0.683450573861533,0.610169491525424,0.648169550162023
"39",15,5,20,0.01,8,1.5,0.645838080048606,0.678884363815871,0.604519774011299,0.643080739291925
"40",15,5,20,0.01,8,2,0.650888585099111,0.683450573861533,0.610169491525424,0.648169550162023
"41",15,5,20,0.01,8,2.5,0.640787574998101,0.674318153770209,0.598870056497175,0.637991928421828
"42",15,5,20,0.01,8,3,0.650812637654743,0.683327162779218,0.610169491525424,0.648103097319795
"43",15,5,20,0.01,9,0,0.655939090149616,0.688016783907195,0.615819209039548,0.65325836103212
"44",15,5,20,0.01,9,0.5,0.645876053770791,0.678946069357028,0.604519774011299,0.643113965713039
"45",15,5,20,0.01,9,1,0.640825548720286,0.674379859311366,0.598870056497175,0.638025154842942
"46",15,5,20,0.01,9,1.5,0.645876053770791,0.678946069357028,0.604519774011299,0.643113965713039
"47",15,5,20,0.01,9,2,0.645876053770791,0.678946069357028,0.604519774011299,0.643113965713039
"48",15,5,20,0.01,9,2.5,0.645838080048606,0.678884363815871,0.604519774011299,0.643080739291925
"49",15,5,20,0.01,9,3,0.645800106326422,0.678822658274713,0.604519774011299,0.643047512870811
"50",15,5,20,0.01,10,0,0.655939090149616,0.688016783907195,0.615819209039548,0.65325836103212
"51",15,5,20,0.01,10,0.5,0.655901116427432,0.687955078366037,0.615819209039548,0.653225134611006
"52",15,5,20,0.01,10,1,0.635813017391965,0.669875354806862,0.593220338983051,0.632969570393959
"53",15,5,20,0.01,10,1.5,0.650888585099111,0.683450573861533,0.610169491525424,0.648169550162023
"54",15,5,20,0.01,10,2,0.645876053770791,0.678946069357028,0.604519774011299,0.643113965713039
"55",15,5,20,0.01,10,2.5,0.640825548720286,0.674379859311366,0.598870056497175,0.638025154842942
"56",15,5,20,0.01,10,3,0.640787574998101,0.674318153770209,0.598870056497175,0.637991928421828
"57",15,5,20,0.02,10,0,0.655863142705248,0.68789337282488,0.615819209039548,0.653191908189892
"58",15,5,20,0.02,10,0.5,0.655901116427432,0.687955078366037,0.615819209039548,0.653225134611006
"59",15,5,20,0.02,10,1,0.650888585099111,0.683450573861533,0.610169491525424,0.648169550162023
"60",15,5,20,0.02,10,1.5,0.650888585099111,0.683450573861533,0.610169491525424,0.648169550162023
"61",15,5,20,0.02,10,2,0.655939090149616,0.688016783907195,0.615819209039548,0.65325836103212
"62",15,5,20,0.02,10,2.5,0.660989595200121,0.692582993952857,0.621468926553672,0.658347171902217
"63",15,5,20,0.02,10,3,0.671052631578947,0.701653708503024,0.632768361581921,0.668491567221297
"64",15,5,20,0.03,10,0,0.650850611376927,0.683388868320375,0.610169491525424,0.648136323740909
"65",15,5,20,0.03,10,0.5,0.666002126528442,0.697087498457362,0.627118644067797,0.6634027563512
"66",15,5,20,0.03,10,1,0.666002126528442,0.697087498457362,0.627118644067797,0.6634027563512
"67",15,5,20,0.03,10,1.5,0.676027189185084,0.706096507466371,0.638418079096045,0.673513925249167
"68",15,5,20,0.03,10,2,0.666002126528442,0.697087498457362,0.627118644067797,0.6634027563512
"69",15,5,20,0.03,10,2.5,0.681039720513405,0.710601011970875,0.64406779661017,0.67856950969815
"70",15,5,20,0.03,10,3,0.681039720513405,0.710601011970875,0.64406779661017,0.67856950969815
"71",15,5,20,0.05,10,0,0.660875674033569,0.692397877329384,0.621468926553672,0.658247492638875
"72",15,5,20,0.05,10,0.5,0.660951621477937,0.692521288411699,0.621468926553672,0.658313945481103
"73",15,5,20,0.05,10,1,0.671052631578947,0.701653708503024,0.632768361581921,0.668491567221297
"74",15,5,20,0.05,10,1.5,0.665926179084074,0.696964087375046,0.627118644067797,0.663336303508972
"75",15,5,20,0.05,10,2,0.665926179084074,0.696964087375046,0.627118644067797,0.663336303508972
"76",15,5,20,0.05,10,2.5,0.645876053770791,0.678946069357028,0.604519774011299,0.643113965713039
"77",15,5,20,0.05,10,3,0.666002126528442,0.697087498457362,0.627118644067797,0.6634027563512
"78",15,5,20,0.06,10,0,0.650888585099111,0.683450573861533,0.610169491525424,0.648169550162023
"79",15,5,20,0.06,10,0.5,0.655863142705248,0.68789337282488,0.615819209039548,0.653191908189892
"80",15,5,20,0.06,10,1,0.671014657856763,0.701592002961866,0.632768361581921,0.668458340800183
"81",15,5,20,0.06,10,1.5,0.655901116427432,0.687955078366037,0.615819209039548,0.653225134611006
"82",15,5,20,0.06,10,2,0.6759892154629,0.706034801925213,0.638418079096045,0.673480698828053
"83",15,5,20,0.06,10,2.5,0.670976684134579,0.701530297420708,0.632768361581921,0.668425114379069
"84",15,5,20,0.06,10,3,0.660913647755753,0.692459582870542,0.621468926553672,0.658280719059989
"85",15,5,20,0.1,10,0,0.645838080048606,0.678884363815871,0.604519774011299,0.643080739291925
"86",15,5,20,0.1,10,0.5,0.645838080048606,0.678884363815871,0.604519774011299,0.643080739291925
"87",15,5,20,0.1,10,1,0.645876053770791,0.678946069357028,0.604519774011299,0.643113965713039
"88",15,5,20,0.1,10,1.5,0.655939090149616,0.688016783907195,0.615819209039548,0.65325836103212
"89",15,5,20,0.1,10,2,0.655863142705248,0.68789337282488,0.615819209039548,0.653191908189892
