"","hojas","min_data","bines","lerners....l","profundidad....p","exactitud","precision","precision_secundaria","promedio"
"1",15,5,20,0.01,3,0.645762132604238,0.678760952733556,0.604519774011299,0.643014286449698
"2",15,5,20,0.01,4,0.655825168983064,0.687831667283722,0.615819209039548,0.653158681768778
"3",15,5,20,0.01,5,0.645800106326422,0.678822658274713,0.604519774011299,0.643047512870811
"4",15,5,20,0.01,6,0.660989595200121,0.692582993952857,0.621468926553672,0.658347171902217
"5",15,5,20,0.01,7,0.645876053770791,0.678946069357028,0.604519774011299,0.643113965713039
"6",15,5,20,0.01,8,0.655901116427432,0.687955078366037,0.615819209039548,0.653225134611006
"7",15,5,20,0.01,9,0.655939090149616,0.688016783907195,0.615819209039548,0.65325836103212
"8",15,5,20,0.01,10,0.655939090149616,0.688016783907195,0.615819209039548,0.65325836103212
"9",15,5,20,0.02,10,0.655863142705248,0.68789337282488,0.615819209039548,0.653191908189892
"10",15,5,20,0.03,10,0.650850611376927,0.683388868320375,0.610169491525424,0.648136323740909
"11",15,5,20,0.05,10,0.660875674033569,0.692397877329384,0.621468926553672,0.658247492638875
"12",15,5,20,0.06,10,0.650888585099111,0.683450573861533,0.610169491525424,0.648169550162023
"13",15,5,20,0.1,10,0.645838080048606,0.678884363815871,0.604519774011299,0.643080739291925
"14",15,5,20,0.15,10,0.655863142705248,0.68789337282488,0.615819209039548,0.653191908189892
"15",15,5,20,0.2,10,0.645800106326422,0.678822658274713,0.604519774011299,0.643047512870811
"16",15,5,30,0.2,10,0.660989595200121,0.692582993952857,0.621468926553672,0.658347171902217
"17",15,5,50,0.2,10,0.64086352244247,0.674441564852524,0.598870056497175,0.638058381264056
"18",15,5,75,0.2,10,0.625712007290955,0.660742934715537,0.581920903954802,0.622791948653765
"19",15,5,100,0.2,10,0.65096453254348,0.683573984943848,0.610169491525424,0.648236003004251
"20",15,5,120,0.2,10,0.65096453254348,0.683573984943848,0.610169491525424,0.648236003004251
"21",15,5,150,0.2,10,0.65096453254348,0.683573984943848,0.610169491525424,0.648236003004251
"22",15,10,20,0.2,10,0.665964152806258,0.697025792916204,0.627118644067797,0.663369529930086
"23",15,10,30,0.2,10,0.671014657856763,0.701592002961866,0.632768361581921,0.668458340800183
"24",15,10,50,0.2,10,0.640901496164654,0.674503270393681,0.598870056497175,0.63809160768517
"25",15,10,75,0.2,10,0.645989974937343,0.679131185980501,0.604519774011299,0.643213644976381
"26",15,10,100,0.2,10,0.625749981013139,0.660804640256695,0.581920903954802,0.622825175074879
"27",15,10,120,0.2,10,0.625749981013139,0.660804640256695,0.581920903954802,0.622825175074879
"28",15,10,150,0.2,10,0.625749981013139,0.660804640256695,0.581920903954802,0.622825175074879
"29",15,15,20,0.2,10,0.630800486063644,0.665370850302357,0.587570621468927,0.627913985944976
"30",15,15,30,0.2,10,0.635813017391965,0.669875354806862,0.593220338983051,0.632969570393959
"31",15,15,50,0.2,10,0.625825928457507,0.66092805133901,0.581920903954802,0.622891627917107
"32",15,15,75,0.2,10,0.620775423407002,0.656361841293348,0.576271186440678,0.617802817047009
"33",15,15,100,0.2,10,0.625825928457507,0.66092805133901,0.581920903954802,0.622891627917107
"34",15,15,120,0.2,10,0.625825928457507,0.66092805133901,0.581920903954802,0.622891627917107
"35",15,15,150,0.2,10,0.625825928457507,0.66092805133901,0.581920903954802,0.622891627917107
"36",15,20,20,0.2,10,0.660913647755753,0.692459582870542,0.621468926553672,0.658280719059989
"37",15,20,30,0.2,10,0.640825548720286,0.674379859311366,0.598870056497175,0.638025154842942
"38",15,20,50,0.2,10,0.640901496164654,0.674503270393681,0.598870056497175,0.63809160768517
"39",15,20,75,0.2,10,0.620737449684818,0.656300135752191,0.576271186440678,0.617769590625896
"40",15,20,100,0.2,10,0.63076251234146,0.6653091447612,0.587570621468926,0.627880759523862
"41",15,20,120,0.2,10,0.63076251234146,0.6653091447612,0.587570621468926,0.627880759523862
"42",15,20,150,0.2,10,0.63076251234146,0.6653091447612,0.587570621468926,0.627880759523862
"43",15,25,20,0.2,10,0.665964152806258,0.697025792916204,0.627118644067797,0.663369529930086
"44",15,25,30,0.2,10,0.645800106326422,0.678822658274713,0.604519774011299,0.643047512870811
"45",15,25,50,0.2,10,0.640825548720286,0.674379859311366,0.598870056497175,0.638025154842942
"46",15,25,75,0.2,10,0.625787954735323,0.660866345797853,0.581920903954802,0.622858401495993
"47",15,25,100,0.2,10,0.650926558821296,0.68351227940269,0.610169491525424,0.648202776583137
"48",15,25,120,0.2,10,0.650926558821296,0.68351227940269,0.610169491525424,0.648202776583137
"49",15,25,150,0.2,10,0.650926558821296,0.68351227940269,0.610169491525424,0.648202776583137
"50",15,30,20,0.2,10,0.640825548720286,0.674379859311366,0.598870056497175,0.638025154842942
"51",15,30,30,0.2,10,0.650926558821296,0.68351227940269,0.610169491525424,0.648202776583137
"52",15,30,50,0.2,10,0.635813017391965,0.669875354806862,0.593220338983051,0.632969570393959
"53",15,30,75,0.2,10,0.660951621477937,0.692521288411699,0.621468926553672,0.658313945481103
"54",15,30,100,0.2,10,0.655901116427432,0.687955078366037,0.615819209039548,0.653225134611006
"55",15,30,120,0.2,10,0.655901116427432,0.687955078366037,0.615819209039548,0.653225134611006
"56",15,30,150,0.2,10,0.655901116427432,0.687955078366037,0.615819209039548,0.653225134611006
"57",15,35,20,0.2,10,0.63577504366978,0.669813649265704,0.593220338983051,0.632936343972845
"58",15,35,30,0.2,10,0.671014657856763,0.701592002961866,0.632768361581921,0.668458340800183
"59",15,35,50,0.2,10,0.655901116427432,0.687955078366037,0.615819209039548,0.653225134611006
"60",15,35,75,0.2,10,0.655939090149616,0.688016783907195,0.615819209039548,0.65325836103212
"61",15,35,100,0.2,10,0.635813017391965,0.669875354806862,0.593220338983051,0.632969570393959
"62",15,35,120,0.2,10,0.635813017391965,0.669875354806862,0.593220338983051,0.632969570393959
"63",15,35,150,0.2,10,0.635813017391965,0.669875354806862,0.593220338983051,0.632969570393959
"64",15,40,20,0.2,10,0.625712007290955,0.660742934715537,0.581920903954802,0.622791948653765
"65",15,40,30,0.2,10,0.655863142705248,0.68789337282488,0.615819209039548,0.653191908189892
"66",15,40,50,0.2,10,0.645876053770791,0.678946069357028,0.604519774011299,0.643113965713039
"67",15,40,75,0.2,10,0.650888585099111,0.683450573861533,0.610169491525424,0.648169550162023
"68",15,40,100,0.2,10,0.640825548720286,0.674379859311366,0.598870056497175,0.638025154842942
"69",15,40,120,0.2,10,0.640825548720286,0.674379859311366,0.598870056497175,0.638025154842942
"70",15,40,150,0.2,10,0.640825548720286,0.674379859311366,0.598870056497175,0.638025154842942
"71",30,5,20,0.2,10,0.650850611376927,0.683388868320375,0.610169491525424,0.648136323740909
"72",30,5,30,0.2,10,0.660913647755753,0.692459582870542,0.621468926553672,0.658280719059989
