"","hojas","min_data","bines","lerners....l","profundidad....p","lambda....l2","exactitud","precision","precision_secundaria","promedio"
"1",15,5,20,0.01,3,0,0.690988835725678,0.719486609897569,0.655367231638418,0.688614225753888
"2",15,5,20,0.01,3,0.5,0.670938710412395,0.701468591879551,0.632768361581921,0.668391887957955
"3",15,5,20,0.01,3,1,0.665926179084074,0.696964087375046,0.627118644067797,0.663336303508972
"4",15,5,20,0.01,3,1.5,0.670938710412395,0.701468591879551,0.632768361581921,0.668391887957955
"5",15,5,20,0.01,3,2,0.68100174679122,0.710539306429717,0.64406779661017,0.678536283277036
"6",15,5,20,0.01,3,2.5,0.675951241740715,0.705973096384055,0.638418079096045,0.673447472406938
"7",15,5,20,0.01,3,3,0.665850231639705,0.696840676292731,0.627118644067797,0.663269850666744
"8",15,5,20,0.01,4,0,0.675913268018531,0.705911390842898,0.638418079096045,0.673414245985825
"9",15,5,20,0.01,4,0.5,0.675913268018531,0.705911390842898,0.638418079096045,0.673414245985825
"10",15,5,20,0.01,4,1,0.670938710412395,0.701468591879551,0.632768361581921,0.668391887957955
"11",15,5,20,0.01,4,1.5,0.66588820536189,0.696902381833889,0.627118644067797,0.663303077087858
"12",15,5,20,0.01,4,2,0.670938710412395,0.701468591879551,0.632768361581921,0.668391887957955
"13",15,5,20,0.01,4,2.5,0.660875674033569,0.692397877329384,0.621468926553672,0.658247492638875
"14",15,5,20,0.01,4,3,0.645762132604238,0.678760952733555,0.604519774011299,0.643014286449698
"15",15,5,20,0.01,5,0,0.685938330675173,0.714920399851907,0.649717514124294,0.683525414883791
"16",15,5,20,0.01,5,0.5,0.675951241740715,0.705973096384055,0.638418079096045,0.673447472406938
"17",15,5,20,0.01,5,1,0.66588820536189,0.696902381833889,0.627118644067797,0.663303077087858
"18",15,5,20,0.01,5,1.5,0.675951241740715,0.705973096384055,0.638418079096045,0.673447472406938
"19",15,5,20,0.01,5,2,0.670976684134579,0.701530297420708,0.632768361581921,0.668425114379069
"20",15,5,20,0.01,5,2.5,0.67090073669021,0.701406886338393,0.632768361581921,0.668358661536841
"21",15,5,20,0.01,5,3,0.660875674033569,0.692397877329384,0.621468926553672,0.658247492638875
"22",15,5,20,0.01,6,0,0.675951241740715,0.705973096384055,0.638418079096045,0.673447472406938
"23",15,5,20,0.01,6,0.5,0.670938710412395,0.701468591879551,0.632768361581921,0.668391887957955
"24",15,5,20,0.01,6,1,0.660913647755753,0.692459582870542,0.621468926553672,0.658280719059989
"25",15,5,20,0.01,6,1.5,0.660875674033569,0.692397877329384,0.621468926553672,0.658247492638875
