"auc","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth"
0.705778877929327,0.10731801066082,0.739396904581226,23,46,7
0.710393407061775,0.0529702283433871,0.848040188432206,31,53,4
0.709428659483189,0.1494615133974,0.906243480646517,39,56,5
0.709987914535861,0.0735908537214855,0.670488911753055,23,35,8
0.707774165308121,0.0358035231592366,0.715380417013075,10,22,4
0.672755172779215,0.0906642433004454,0.650888493258972,33,69,8
0.716061044184251,0.0614690808554878,0.517789602496196,28,41,6
0.722235331202966,0.0431684362873202,0.633651116755791,43,33,3
0.72969431794452,0.195808911613422,0.952306895432994,18,50,9
0.7224087460996,0.132239317233441,0.584218266573735,13,19,7
0.723908643427987,0.0783980447718641,0.427426939255092,42,16,9
0.714725539620623,0.183177822636557,0.931346066344995,26,12,7
0.692345235820601,0.157377462609904,0.435919674180914,9,59,3
0.728799423271895,0.17797702332167,0.812655198306311,45,29,6
0.719477332249058,0.101508083891822,0.560676273542922,15,43,10
0.677521932577041,0.0185792445528787,0.771986388226505,34,66,5
0.70761496271148,0.0216040001446381,0.997907467952464,50,25,10
0.734559439707447,0.134895479638013,0.464165209287312,36,14,3
0.701012039571926,0.170535290040658,0.543981261188164,48,63,9
0.708495464531931,0.11572553114302,0.867861017361283,19,39,5
0.709395004408387,0.199619596380308,0.542298464300485,45,22,3
0.718247275425798,0.151717871900025,0.401501461431727,8,15,3
0.717721737125539,0.129345997719888,0.521624920600875,31,13,6
0.728289536537268,0.147761044445554,0.544541883174326,45,15,3
0.715115597430565,0.0113801861009732,0.400470612108299,37,14,3
0.740408525889485,0.165280247195728,0.523893935538308,38,15,3
0.716710458383969,0.189166572715791,0.601360685116212,36,16,3
0.726416328460168,0.170876203301805,0.489731466837659,39,15,4
0.72995452634202,0.158155739962788,0.581420267271852,34,16,3
0.72154875964137,0.147974712635594,0.519162144401688,33,15,3
0.743178503107819,0.164454814752976,0.801814193217149,50,17,3
0.723404784782449,0.1644745612724,0.520439900828162,49,21,3
0.685070161081449,0.123775124484396,0.824986039560381,38,65,6
0.71376940624366,0.163987695776433,0.882377957888757,49,14,4
0.743439041646063,0.168415336464378,0.695828663780693,48,16,3
0.735253883134968,0.166370941138021,0.741780544228922,42,12,3
0.744333110249293,0.165545691538929,0.43933364746212,50,15,3
0.715036210656511,0.165355514183314,0.850511662370032,50,15,3
0.714905316218809,0.0724058420357294,0.899870959939435,11,44,7
0.697597724841567,0.0540734577767551,0.837708184425393,17,52,3
0.722916480138826,0.163739373915938,0.759160428157117,49,17,3
0.739183450529319,0.06461638091509,0.428867203395208,21,36,3
0.736588758433736,0.168998731045143,0.704056853565903,40,11,4
0.734703265361855,0.169923039920126,0.53353986197765,38,10,3
0.691570965422774,0.126419250979153,0.782238914819015,8,51,9
0.709569948725617,0.0109888738929108,0.658215618994646,22,16,8
0.701563374894708,0.1665922063584,0.455158395600983,49,14,3
0.722530580713146,0.136049799258693,0.840698983426578,25,23,10
0.695086005746172,0.0908993892112304,0.608187632101076,42,70,5
0.719364428924111,0.0403794781061774,0.72393384272051,32,19,7
0.741195742807532,0.107428680808907,0.448463527465099,37,20,3
0.721180134297781,0.165127893261665,0.494599331599427,24,13,5
0.724617017767087,0.0297260295318021,0.7364040523679,49,35,6
0.732111250574103,0.155110471097089,0.947078117269231,8,17,6
0.726766370581284,0.109487239801968,0.751972717540432,43,33,10
0.685825218948863,0.193099545629739,0.512502648496861,50,70,4
0.738965808796556,0.13924927769802,0.438005744356311,40,17,3
0.740346145370687,0.177157334607242,0.697500192884239,44,15,3
0.720031686968107,0.0915421757011279,0.588600252538174,35,14,5
0.726085885395434,0.18560090921296,0.906937746089976,25,54,10
0.734271679759105,0.133121600160776,0.980997906501591,16,25,8
0.708032454797506,0.126748981411024,0.443164774205024,49,19,3
0.727325106595967,0.17078876766923,0.433041446332306,50,14,3
0.718504668747432,0.0680174565470614,0.424388624690846,46,43,9
0.72343932576362,0.194143901314174,0.507517756386194,38,34,4
0.712635698916285,0.123958824747147,0.69644389259438,31,26,3
0.695717128064994,0.197227099513626,0.752928582867235,21,56,3
0.69503580886481,0.183017623895356,0.485758900715504,27,37,3
0.682992032219586,0.0524152753499011,0.559055264926329,10,60,9
0.717885418185494,0.162148081407597,0.438834887412197,43,33,5
0.736207077672203,0.0275132875812333,0.724602079857513,12,19,9
0.700123562210109,0.106069927090725,0.590559178036544,26,44,3
0.725340059142753,0.0924599106162414,0.84419482268081,13,12,10
0.741906749163532,0.164428698096871,0.747225743475044,33,18,7
0.711036173979521,0.0749586214204878,0.56063761828253,37,47,8
0.724827014573084,0.146926040271549,0.891082078646263,34,44,8
0.73146996833693,0.187463947472845,0.467142371499632,13,46,8
0.709188940894662,0.0980626085027074,0.742148071510857,21,56,3
0.726587412322706,0.160326607679891,0.438861765421732,42,14,4
0.733828860650876,0.0421540309713245,0.801549207908893,41,31,3
0.722134474401916,0.172548394477461,0.419701540403348,43,26,4
0.690861415136774,0.0289130909488373,0.692911497338861,39,59,5
0.714484147957511,0.164883444756756,0.605911220099311,13,40,7
0.726019229427898,0.0400705392432353,0.442272488244763,9,20,3
0.705071872164253,0.0948265797850257,0.701158619442023,37,50,7
0.710149741919046,0.106506842745442,0.920512621145276,35,45,7
0.720021558051131,0.172462204352578,0.943087160920678,29,30,10
0.728653244673191,0.168102203836308,0.700428499562481,46,16,4
0.693446141740731,0.0768921210537315,0.771009518052219,29,49,5
0.71502604114232,0.17759645252357,0.55104139832221,49,38,4
0.71956996161666,0.0652184531971254,0.508674236863898,48,33,3
0.716666067260717,0.144109652935879,0.737270948629733,30,62,8
0.722608621876915,0.0980436998482188,0.748196922772098,25,14,8
0.701402039151537,0.0465196338330046,0.434343928249786,29,29,8
0.708515308016777,0.10730358753412,0.95529646683028,32,38,9
0.711047298003763,0.0299760856821225,0.990998171830922,49,18,4
0.711342020794222,0.0878824926201603,0.669506324295607,27,30,5
0.706904609631628,0.163131226259221,0.504202869996103,35,65,9
0.712934071234345,0.0711338551215059,0.552061398523347,33,51,6
0.711057614117401,0.164469410104519,0.751610411090232,40,37,4
0.713784966392566,0.109071745249087,0.560521674563084,12,14,10
0.72743533963551,0.0589886904039001,0.548554321392952,10,24,9
0.720065649544026,0.0129471459193388,0.666259530720394,39,31,7
0.718868968089411,0.0402667501795595,0.785216292511346,39,38,8
0.703407392409602,0.0735341976248031,0.579972855872801,24,17,8
0.717792479679798,0.0915760007373081,0.453436292782705,30,30,10
0.696578752709064,0.172087100170641,0.504881146817328,25,62,10
0.711353344001672,0.0104644180108956,0.951097272395855,22,21,9
0.711810354052505,0.174445919477916,0.556652818649029,47,49,10
