"","gota","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.01,10,0.694235588972431,0.722008547008547,0.660961105753777,0.692401747244918
"2",0.2,0.01,20,0.709273182957393,0.730869462212746,0.681274281274281,0.707138975481474
"3",0.2,0.01,30,0.691729323308271,0.720894176703157,0.658880471380471,0.6905013237973
"4",0.2,0.01,40,0.646616541353383,0.693162393162393,0.603717476773596,0.647832137096457
"5",0.2,0.01,50,0.659147869674185,0.685955610077467,0.633420411006618,0.65950796358609
"6",0.2,0.01,60,0.666666666666667,0.688975193648543,0.636731277117525,0.664124379144245
"7",0.2,0.01,70,0.631578947368421,0.668085424133811,0.59133847991728,0.630334283806504
"8",0.2,0.01,80,0.651629072681704,0.689206349206349,0.609224644038059,0.650020021975371
"9",0.2,0.01,90,0.62406015037594,0.674129658897189,0.576851851851852,0.62501388704166
"10",0.2,0.01,100,0.651629072681704,0.691880915120352,0.609166087999495,0.650892025267184
"11",0.2,0.02,10,0.704260651629073,0.733449786081365,0.682230364941891,0.706646934217443
"12",0.2,0.02,20,0.704260651629073,0.719104358610914,0.684273504273504,0.702546171504497
"13",0.2,0.02,30,0.68922305764411,0.712895047834807,0.659775910364146,0.687298005281021
"14",0.2,0.02,40,0.676691729323308,0.698812333745457,0.649772271976083,0.675092111681616
"15",0.2,0.02,50,0.664160401002506,0.693138227513228,0.628311001731839,0.661869876749191
"16",0.2,0.02,60,0.641604010025063,0.672144835451287,0.603453632713393,0.639067492729914
"17",0.2,0.02,70,0.649122807017544,0.679465766406065,0.617983109786388,0.648857227736666
"18",0.2,0.02,80,0.654135338345865,0.686745169082126,0.616091757741348,0.652324088389779
"19",0.2,0.02,90,0.666666666666667,0.703580173383628,0.628448439878234,0.666231759976176
"20",0.2,0.02,100,0.646616541353383,0.684597123911365,0.603839223839224,0.645017629701324
"21",0.2,0.03,10,0.568922305764411,0.761519607843137,0.576518450103356,0.635653454570301
"22",0.2,0.03,20,0.679197994987469,0.689992772192654,0.668787733135246,0.679326166771789
"23",0.2,0.03,30,0.671679197994987,0.683399675659738,0.654104124780816,0.66972766614518
