"","gota1","gota2","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.2,0.01,10,0.68671679197995,0.709273964399998,0.669907407407407,0.688632721262452
"2",0.2,0.2,0.01,20,0.711779448621554,0.73103196613633,0.688788778422167,0.710533397726684
"3",0.2,0.2,0.01,30,0.666666666666667,0.68374583248282,0.641182922499493,0.66386514054966
"4",0.2,0.2,0.01,40,0.646616541353383,0.688073261349123,0.605187178859799,0.646625660520769
"5",0.2,0.2,0.01,50,0.676691729323308,0.700403154350523,0.64783931936521,0.67497806767968
"6",0.2,0.2,0.01,60,0.654135338345865,0.677894617819991,0.622409678309425,0.651479878158427
"7",0.2,0.2,0.01,70,0.659147869674185,0.698663153786105,0.61512247361304,0.657644499024443
"8",0.2,0.2,0.01,80,0.661654135338346,0.682053089029833,0.63141738117921,0.658374868515796
"9",0.2,0.2,0.01,90,0.641604010025063,0.682483678955453,0.599435582901596,0.641174423960704
"10",0.2,0.2,0.01,100,0.631578947368421,0.671764192242793,0.589624183006536,0.63098910753925
"11",0.2,0.2,0.02,10,0.634085213032581,0.678660130718954,0.593702238134121,0.635482527295219
"12",0.2,0.2,0.02,20,0.676691729323308,0.682290057694967,0.66812865497076,0.675703480663012
"13",0.2,0.2,0.02,30,0.679197994987469,0.714040404040404,0.638824065783506,0.677354154937126
"14",0.2,0.2,0.02,40,0.674185463659148,0.716853704960048,0.634295584003566,0.675111584207587
"15",0.2,0.2,0.02,50,0.659147869674185,0.686773361680348,0.620200031964738,0.655373754439757
"16",0.2,0.2,0.02,60,0.661654135338346,0.703282828282828,0.620520585478405,0.661819183033193
"17",0.2,0.2,0.02,70,0.631578947368421,0.673890590284033,0.58671802054155,0.630729186064668
"18",0.2,0.2,0.02,80,0.664160401002506,0.682895292910185,0.638902570540989,0.661986088151227
"19",0.2,0.2,0.02,90,0.674185463659148,0.716311300639659,0.632601290135537,0.674366018144781
"20",0.2,0.2,0.02,100,0.639097744360902,0.69506608574987,0.597950746799431,0.644038192303401
"21",0.2,0.2,0.03,10,0.6265664160401,0.646511847446427,0.717926421404682,0.66366822829707
"22",0.2,0.2,0.03,20,0.666666666666667,0.663672306529449,0.692063492063492,0.674134155086536
"23",0.2,0.2,0.03,30,0.671679197994987,0.695362078496407,0.640557639709703,0.669199638733699
"24",0.2,0.2,0.03,40,0.681704260651629,0.711071859903382,0.647707396301849,0.68016117228562
"25",0.2,0.2,0.03,50,0.646616541353383,0.685021005663611,0.605287294908613,0.645641613975203
"26",0.2,0.2,0.03,60,0.639097744360902,0.688366722136883,0.595795060216371,0.641086508904719
"27",0.2,0.2,0.03,70,0.664160401002506,0.707641277400515,0.619134615384615,0.663645431262546
"28",0.2,0.2,0.03,80,0.669172932330827,0.702777777777778,0.630184907546227,0.667378539218277
"29",0.2,0.2,0.03,90,0.646616541353383,0.688517141984642,0.602947734194895,0.64602713917764
"30",0.2,0.2,0.03,100,0.629072681704261,0.666528286761338,0.586884600149154,0.627495189538251
"31",0.2,0.2,0.05,10,0.573934837092732,0.629163173792131,0.669494368559789,0.624197459814884
"32",0.2,0.2,0.05,20,0.664160401002506,0.718893765932093,0.643989436570648,0.675681201168416
"33",0.2,0.2,0.05,30,0.676691729323308,0.688603941768499,0.662676728250499,0.675990799780768
"34",0.2,0.2,0.05,40,0.679197994987469,0.713109425785482,0.64674256799494,0.679683329589297
"35",0.2,0.2,0.05,50,0.68922305764411,0.722234416154522,0.656600048403327,0.689352507400653
"36",0.2,0.2,0.05,60,0.664160401002506,0.716963124772455,0.621045751633987,0.667389759136316
"37",0.2,0.2,0.05,70,0.651629072681704,0.725497208105904,0.60947860587593,0.662201628887846
"38",0.2,0.2,0.05,80,0.681704260651629,0.753639975379106,0.64614894597361,0.693831060668115
"39",0.2,0.2,0.05,90,0.639097744360902,0.703974208322034,0.605355389769389,0.649475780817442
"40",0.2,0.2,0.05,100,0.654135338345865,0.717990323983475,0.617647058823529,0.663257573717623
"41",0.2,0.2,0.06,10,0.596491228070175,0.604960986159831,0.702020202020202,0.634490805416736
"42",0.2,0.2,0.06,20,0.556390977443609,0.593991421981668,0.577393219832736,0.575925206419338
"43",0.2,0.2,0.06,30,0.654135338345865,0.658687853250753,0.675489589775304,0.662770927123974
"44",0.2,0.2,0.06,40,0.68671679197995,0.682529497993416,0.721350762527233,0.696865684166866
"45",0.2,0.2,0.06,50,0.6265664160401,0.638337457175485,0.656845386303694,0.640583086506427
"46",0.2,0.2,0.06,60,0.654135338345865,0.666623931623932,0.687510722250815,0.669423330740204
"47",0.2,0.2,0.06,70,0.684210526315789,0.66928351874089,0.739249037227214,0.697581027427965
"48",0.2,0.2,0.06,80,0.666666666666667,0.663617121164291,0.715173954076295,0.681819247302417
"49",0.2,0.2,0.06,90,0.666666666666667,0.66123531153069,0.695865761439532,0.674589246545629
"50",0.2,0.2,0.06,100,0.659147869674185,0.659841274026419,0.681712962962963,0.666900702221189
"51",0.2,0.2,0.1,10,0.543859649122807,0.37593984962406,NA,NA
"52",0.2,0.2,0.1,20,0.548872180451128,0.709273182957393,NA,NA
"53",0.2,0.2,0.1,30,0.546365914786967,NA,NA,NA
"54",0.2,0.2,0.1,40,0.548872180451128,0.709273182957393,NA,NA
"55",0.2,0.2,0.1,50,0.543859649122807,0.37593984962406,NA,NA
"56",0.2,0.2,0.1,60,0.538847117794486,0.538847117794486,NA,NA
"57",0.2,0.2,0.1,70,0.538847117794486,0.538847117794486,NA,NA
"58",0.2,0.2,0.1,80,0.538847117794486,0.538847117794486,NA,NA
"59",0.2,0.2,0.1,90,0.538847117794486,0.538847117794486,NA,NA
"60",0.2,0.2,0.1,100,0.538847117794486,0.538847117794486,NA,NA
"61",0.2,0.3,0.01,10,0.641604010025063,0.762612249016245,0.590833333333333,0.665016530791547
"62",0.2,0.3,0.01,20,0.699248120300752,0.714764728576678,0.683501683501683,0.699171510793038
"63",0.2,0.3,0.01,30,0.68922305764411,0.724070586594127,0.652286902286902,0.688526848841713
"64",0.2,0.3,0.01,40,0.659147869674185,0.701806526806527,0.617374550945189,0.6594429824753
"65",0.2,0.3,0.01,50,0.661654135338346,0.690379802663656,0.62672630257376,0.659586746858587
"66",0.2,0.3,0.01,60,0.656641604010025,0.702997489014438,0.610175749520012,0.656604947514825
"67",0.2,0.3,0.01,70,0.666666666666667,0.712605117886808,0.619261194213756,0.666177659589077
"68",0.2,0.3,0.01,80,0.669172932330827,0.71659328962203,0.623691706412295,0.66981930945505
"69",0.2,0.3,0.01,90,0.666666666666667,0.716353677621283,0.617696195858626,0.666905513382192
"70",0.2,0.3,0.01,100,0.671679197994987,0.710070687287544,0.633628136569313,0.671792673950615
"71",0.2,0.3,0.02,10,0.606516290726817,0.662224153182562,0.572145884334939,0.613628776081439
"72",0.2,0.3,0.02,20,0.679197994987469,0.676521225203001,0.686643283341397,0.680787501177289
"73",0.2,0.3,0.02,30,0.684210526315789,0.699193237223333,0.663828182664228,0.68241064873445
"74",0.2,0.3,0.02,40,0.681704260651629,0.700513775971093,0.657754857704545,0.679990964775756
"75",0.2,0.3,0.02,50,0.656641604010025,0.684946355085244,0.620526092265223,0.654038017120164
"76",0.2,0.3,0.02,60,0.691729323308271,0.711477411477412,0.664738357275671,0.689315030687118
"77",0.2,0.3,0.02,70,0.674185463659148,0.71430860327412,0.628949505346829,0.672481190760032
"78",0.2,0.3,0.02,80,0.669172932330827,0.712692138779095,0.625931770939821,0.669265614016581
"79",0.2,0.3,0.02,90,0.68922305764411,0.72097248516195,0.651101560533275,0.687099034446445
"80",0.2,0.3,0.02,100,0.674185463659148,0.717055368649142,0.629481673824029,0.673574168710773
"81",0.2,0.3,0.03,10,0.543859649122807,0.639674523007856,0.568770226537217,0.584101466222627
"82",0.2,0.3,0.03,20,0.646616541353383,0.655753968253968,0.63406494673341,0.645478485446921
"83",0.2,0.3,0.03,30,0.659147869674185,0.666124661246612,0.644031929711775,0.656434820210858
"84",0.2,0.3,0.03,40,0.669172932330827,0.681667980402158,0.65335898669232,0.668066633141768
"85",0.2,0.3,0.03,50,0.656641604010025,0.673092532467533,0.632988267770876,0.654240801416145
"86",0.2,0.3,0.03,60,0.68922305764411,0.698927767893285,0.674934098849892,0.687694974795762
"87",0.2,0.3,0.03,70,0.684210526315789,0.715789473684211,0.652186020607073,0.684062006869024
"88",0.2,0.3,0.03,80,0.656641604010025,0.670371247090385,0.633032514080901,0.653348455060437
"89",0.2,0.3,0.03,90,0.671679197994987,0.686619263089851,0.651104886399004,0.669801115827948
"90",0.2,0.3,0.03,100,0.664160401002506,0.684594882729211,0.636082296459655,0.661612526730457
"91",0.2,0.3,0.05,10,0.596491228070175,0.614353202976799,0.576063873233685,0.595636101426886
"92",0.2,0.3,0.05,20,0.604010025062657,0.655836818548683,0.602498102498103,0.620781648703147
"93",0.2,0.3,0.05,30,0.646616541353383,0.649048826886493,0.667017543859649,0.654227637366509
"94",0.2,0.3,0.05,40,0.684210526315789,0.693818436465495,0.707702207702208,0.695243723494497
"95",0.2,0.3,0.05,50,0.68671679197995,0.686413660259877,0.735142578536791,0.702757676925539
"96",0.2,0.3,0.05,60,0.641604010025063,0.681006139829669,0.653142282554047,0.65858414413626
"97",0.2,0.3,0.05,70,0.629072681704261,0.650137842760794,0.682372881355932,0.653861135273662
"98",0.2,0.3,0.05,80,0.639097744360902,0.674420903954802,0.651301499127586,0.654940049147763
"99",0.2,0.3,0.05,90,0.644110275689223,0.683997904967974,0.648203148203148,0.658770442953448
"100",0.2,0.3,0.05,100,0.634085213032581,0.666572840765053,0.665870171246515,0.65550940834805
"101",0.2,0.3,0.06,10,0.476190476190476,NA,NA,NA
"102",0.2,0.3,0.06,20,0.543859649122807,0.553812917710944,NA,NA
"103",0.2,0.3,0.06,30,0.571428571428571,0.564339096732089,NA,NA
"104",0.2,0.3,0.06,40,0.56140350877193,0.555927412012938,NA,NA
"105",0.2,0.3,0.06,50,0.568922305764411,0.559802412012938,NA,NA
