"auc","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth"
0.69937901603542,0.10731801066082,0.739396904581226,23,46,7
0.70979278536555,0.0529702283433871,0.848040188432206,31,53,4
0.714633759560297,0.1494615133974,0.906243480646517,39,56,5
0.727001476830395,0.0735908537214855,0.670488911753055,23,35,8
0.698738107884967,0.0358035231592366,0.715380417013075,10,22,4
0.681014426262858,0.0906642433004454,0.650888493258972,33,69,8
0.717387772489207,0.0614690808554878,0.517789602496196,28,41,6
0.717217247587291,0.0431684362873202,0.633651116755791,43,33,3
0.724633639428136,0.195808911613422,0.952306895432994,18,50,9
0.744692174515413,0.132239317233441,0.584218266573735,13,19,7
0.7250369081362,0.0783980447718641,0.427426939255092,42,16,9
0.72408467365687,0.183177822636557,0.931346066344995,26,12,7
0.690275093616279,0.157377462609904,0.435919674180914,9,59,3
0.733861307547613,0.17797702332167,0.812655198306311,45,29,6
0.729964366689581,0.101508083891822,0.560676273542922,15,43,10
0.693598069926554,0.0185792445528787,0.771986388226505,34,66,5
0.702367252986141,0.0216040001446381,0.997907467952464,50,25,10
0.721004044061576,0.134895479638013,0.464165209287312,36,14,3
0.696883603910607,0.170535290040658,0.543981261188164,48,63,9
0.720083260887674,0.11572553114302,0.867861017361283,19,39,5
0.697602552943063,0.148375594607592,0.582162803223243,19,27,10
0.717144566310774,0.115346827505638,0.447839008277981,43,26,7
0.724894901761518,0.123408399684931,0.61910664662202,27,19,8
0.726019313731301,0.144575993891778,0.546589824853108,13,18,7
0.721772147781705,0.131784570340415,0.662894500203529,20,18,6
0.707536631274131,0.127388233999078,0.66539152850942,13,20,7
0.708411296392727,0.194939247471325,0.735686950653745,17,51,4
0.734286732052781,0.0603243096105237,0.581010405649792,13,41,9
0.719915377819078,0.148629892680019,0.665050283626236,8,19,6
0.715623996183082,0.169849112030345,0.801744256339641,46,51,5
0.727502412063967,0.199139017153357,0.57327490284848,33,23,4
0.714533677076364,0.104326930734389,0.584734228164965,8,19,3
0.678641006328893,0.0308650421614363,0.533879864300182,20,49,3
0.726410542058798,0.150115305114313,0.582150865904963,14,17,6
0.704569759853267,0.18892498673457,0.956680555364955,44,13,9
0.710700178296751,0.131486068206766,0.579301661345663,30,20,7
0.668005098995331,0.0219158200477809,0.472662789602065,41,34,10
0.695603458239301,0.0940831584012974,0.851370665195305,23,30,3
0.710404078424094,0.148471998939374,0.448777952120827,33,19,7
0.74324868092789,0.13845702496409,0.547584397256063,18,41,10
0.678405490335975,0.0300658371422323,0.45667141466965,40,69,9
0.729783183497378,0.0433282881775848,0.840406005257694,36,19,10
0.691918801156265,0.194358766688183,0.581104253814695,22,58,8
0.68938843297919,0.112153992892755,0.513792339631775,42,57,6
