"","gota","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.01,10,0.676691729323308,0.702441809398331,0.644391190598731,0.67450824310679
"2",0.2,0.01,20,0.651629072681704,0.678558067446956,0.61741020173856,0.64919911395574
"3",0.2,0.01,30,0.606516290726817,0.65548262800418,0.564173336217463,0.60872408498282
"4",0.2,0.01,40,0.583959899749373,0.623341139734582,0.544312169312169,0.583871069598708
"5",0.2,0.01,50,0.593984962406015,0.635428786899375,0.551456386750504,0.593623378685298
"6",0.2,0.01,60,0.601503759398496,0.648484848484849,0.557690997069447,0.602559868317597
"7",0.2,0.01,70,0.586466165413534,0.632832968410809,0.545933977455717,0.588411037093353
"8",0.2,0.01,80,0.593984962406015,0.630903572336639,0.557454551233155,0.594114361991936
"9",0.2,0.01,90,0.616541353383459,0.661458333333333,0.57487922705314,0.617626304589977
"10",0.2,0.01,100,0.568922305764411,0.612614237614238,0.529559243121865,0.570365262166838
"11",0.2,0.02,10,0.656641604010025,0.668395292596633,0.662157382847038,0.662398093151232
"12",0.2,0.02,20,0.636591478696742,0.679782790309106,0.59411600897669,0.636830092660846
"13",0.2,0.02,30,0.604010025062657,0.645327696073965,0.563470842882608,0.604269521339743
"14",0.2,0.02,40,0.614035087719298,0.664262566137566,0.568244821937855,0.61551415859824
"15",0.2,0.02,50,0.619047619047619,0.656219792304077,0.580283895209268,0.618517102186988
"16",0.2,0.02,60,0.629072681704261,0.667804788765204,0.592032456922163,0.629636642463876
"17",0.2,0.02,70,0.601503759398496,0.639964365316478,0.565236031822455,0.60223471884581
"18",0.2,0.02,80,0.593984962406015,0.63735119047619,0.555601564297216,0.595645905726474
"19",0.2,0.02,90,0.619047619047619,0.659373638718848,0.582433997926956,0.620285085231141
"20",0.2,0.02,100,0.573934837092732,0.622948232323232,0.530102879715745,0.575661983043903
"21",0.2,0.03,10,0.629072681704261,0.682595245848258,0.622112872850981,0.6445936001345
"22",0.2,0.03,20,0.636591478696742,0.677677224736048,0.596380090497738,0.636882931310176
"23",0.2,0.03,30,0.621553884711779,0.659086134453782,0.584201305940436,0.621613775035332
"24",0.2,0.03,40,0.629072681704261,0.674726983859288,0.584552084552085,0.629450583371878
"25",0.2,0.03,50,0.611528822055138,0.648599481658692,0.578621006333701,0.612916436682511
"26",0.2,0.03,60,0.621553884711779,0.670146535084142,0.575238688252387,0.622313036016103
"27",0.2,0.03,70,0.596491228070175,0.642694235588972,0.548821112341983,0.596002192000377
"28",0.2,0.03,80,0.62406015037594,0.665669657693586,0.584684684684685,0.62480483091807
"29",0.2,0.03,90,0.588972431077694,0.645843776106934,0.543579527898201,0.592798578360943
"30",0.2,0.03,100,0.598997493734336,0.642387820512821,0.558397271952259,0.599927528733139
"31",0.2,0.05,10,0.551378446115288,NA,0.508062538721711,NA
"32",0.2,0.05,20,0.634085213032581,0.692426428489637,0.605685233025715,0.644065624849311
