"","gota","lr","epocas","exactitud","precision","precision_secundaria"
"56",0.2,0.1,60,0.674648852346694,0.830079405551104,0.448737622139157
"57",0.2,0.1,70,0.677046933881466,0.84224328029084,0.455695369035155
"58",0.2,0.1,80,0.69138403562864,0.82988757988758,0.46913819821188
"59",0.2,0.1,90,0.679376498800959,0.828625167720912,0.469459403284016
"60",0.2,0.1,100,0.703357314148681,0.839640365002684,0.493055555555556
"61",0.3,0.01,10,0.700942103460089,0.820809838791296,0.511236445038811
"62",0.3,0.01,20,0.686570743405276,0.827591548631738,0.474758522378155
"63",0.3,0.01,30,0.703374443302501,0.838550738740492,0.496344094355953
"64",0.3,0.01,40,0.689003083247688,0.839480217697059,0.472916666666667
"65",0.3,0.01,50,0.679427886262419,0.790910100505303,0.454170159541203
"66",0.3,0.01,60,0.677081192189106,0.803140443169138,0.451267056530214
"67",0.3,0.01,70,0.677081192189106,0.800788271574399,0.452541610436347
"68",0.3,0.01,80,0.698544021925317,0.77993957434047,0.482315912750695
"69",0.3,0.01,90,0.684292565947242,0.790294518394298,0.458424908424908
"70",0.3,0.01,100,0.669869818430969,0.777374110563766,0.439833035181872
"71",0.3,0.02,10,0.696282973621103,0.852986529341596,0.503746725640915
"72",0.3,0.02,20,0.669886947584789,0.834023018233545,0.452299552299552
"73",0.3,0.02,30,0.701044878383008,0.820325010561353,0.487985347985348
"74",0.3,0.02,40,0.708256252141144,0.83918281822944,0.496031746031746
"75",0.3,0.02,50,0.705721137375814,0.806188024408848,0.497904577691812
"76",0.3,0.02,60,0.696231586159644,0.787948131197559,0.470361863313991
"77",0.3,0.02,70,0.708136348064406,0.815486408509664,0.495803932095925
"78",0.3,0.02,80,0.691349777321,0.790304834054834,0.481102208325191
"79",0.3,0.02,90,0.691281260705721,0.785034044578288,0.482010674770142
"80",0.3,0.02,100,0.688917437478589,0.776548665126493,0.471740392430048
"81",0.3,0.03,10,0.652997601918465,0.871230267211678,0.450865800865801
"82",0.3,0.03,20,0.693799246317232,0.848060191128227,0.486424394319131
"83",0.3,0.03,30,0.674683110654334,0.814456063107687,0.458641975308642
"84",0.3,0.03,40,0.724905789653991,0.84619939707149,0.524723487312947
"85",0.3,0.03,50,0.710551558752998,0.817484035759898,0.503440607012036
"86",0.3,0.03,60,0.71296676944159,0.818839161979294,0.50042735042735
"87",0.3,0.03,70,0.732117163412127,0.825991877538269,0.529270622977873
"88",0.3,0.03,80,0.708204864679685,0.805293330522688,0.48823265865486
"89",0.3,0.03,90,0.70342583076396,0.792684424056743,0.491518870132381
"90",0.3,0.03,100,0.705772524837273,0.790376654614666,0.494588744588745
"91",0.3,0.05,10,0.490270640630353,0.723778855804617,0.298977527985162
"92",0.3,0.05,20,0.634155532716684,0.866383616383616,0.431304315804979
"93",0.3,0.05,30,0.667437478588558,0.854785280970626,0.453099283456929
"94",0.3,0.05,40,0.66034600890716,0.844182841825587,0.447689737163421
"95",0.3,0.05,50,0.66980130181569,0.85378095783618,0.456443605813509
"96",0.3,0.05,60,0.66985268927715,0.852655286865813,0.458733974358974
"97",0.3,0.05,70,0.676978417266187,0.845743906719516,0.466792162231539
"98",0.3,0.05,80,0.68187735525865,0.836000574558927,0.463603003925585
"99",0.3,0.05,90,0.669767043508051,0.820715709604598,0.451947887908479
"100",0.3,0.05,100,0.664988009592326,0.814937644164968,0.44843061165228
"101",0.3,0.06,10,0.507708119218911,NA,0.355774493705528
"102",0.3,0.06,20,0.622147995889003,0.86928037436512,0.420701638864501
"103",0.3,0.06,30,0.657896539910928,0.84762590555992,0.451378221539512
"104",0.3,0.06,40,0.648458376156218,0.839677705874889,0.438424377554812
"105",0.3,0.06,50,0.669921205892429,0.850096023621185,0.463827614379085
"106",0.3,0.06,60,0.667557382665296,0.841659306365189,0.464445449520076
"107",0.3,0.06,70,0.662709832134293,0.826393821523198,0.450261233019854
"108",0.3,0.06,80,0.645940390544707,0.81298833079655,0.424842171717172
"109",0.3,0.06,90,0.636296676944159,0.828097392803275,0.423232323232323
"110",0.3,0.06,100,0.672199383350462,0.828581328581329,0.460203652709508
"111",0.3,0.1,10,0.57158273381295,0.773219746614242,0.353583266358847
"112",0.3,0.1,20,0.645854744775608,0.862223797707669,0.43973843973844
"113",0.3,0.1,30,0.657828023295649,0.838894717413689,0.443585816392834
"114",0.3,0.1,40,0.64828708461802,0.829235814510246,0.426446864287155
"115",0.3,0.1,50,0.657845152449469,0.816176470588235,0.435820895522388
"116",0.3,0.1,60,0.665244946899623,0.838514149155777,0.457335539880333
"117",0.3,0.1,70,0.667351832819459,0.836746963397734,0.444315724436206
"118",0.3,0.1,80,0.657896539910928,0.809354740238974,0.420669934640523
"119",0.3,0.1,90,0.672062350119904,0.828522550205398,0.46108461402579
"120",0.3,0.1,100,0.667471736896197,0.805521171038412,0.44464293604853
"121",0.4,0.01,10,0.684189791024323,0.808734548611589,0.492639871197746
"122",0.4,0.01,20,0.66032887975334,0.820606735427411,0.442911877394636
"123",0.4,0.01,30,0.693782117163412,0.833434334402951,0.487178059593773
"124",0.4,0.01,40,0.68192874272011,0.82053281351527,0.459259259259259
"125",0.4,0.01,50,0.669904076738609,0.798285445786984,0.442092918782256
"126",0.4,0.01,60,0.681825967797191,0.795893315478183,0.458246708246708
"127",0.4,0.01,70,0.672216512504282,0.780957035795745,0.445630215195433
"128",0.4,0.01,80,0.705686879068174,0.796178673427755,0.494752103242669
"129",0.4,0.01,90,0.674597464885235,0.78091748668202,0.448834853090172
"130",0.4,0.01,100,0.674648852346694,0.775243664717349,0.43432757718472
"131",0.4,0.02,10,0.674648852346694,0.79742244572753,0.507123341139735
"132",0.4,0.02,20,0.681774580335731,0.829425034664598,0.465333795934889
"133",0.4,0.02,30,0.691435423090099,0.814911821197835,0.481319655521783
"134",0.4,0.02,40,0.689003083247688,0.800580191631759,0.467132470544755
"135",0.4,0.02,50,0.693816375471052,0.803688936309361,0.476018099547511
"136",0.4,0.02,60,0.677183967112025,0.794608548220105,0.447320261437908
"137",0.4,0.02,70,0.705789653991093,0.82074723668585,0.488830409356725
"138",0.4,0.02,80,0.693782117163412,0.80445640966892,0.476885064620914
"139",0.4,0.02,90,0.693764988009592,0.788771121118844,0.474957264957265
"140",0.4,0.02,100,0.703323055841041,0.793563915441806,0.494326241134752
"141",0.4,0.03,10,0.705806783144913,0.82691820931907,0.483094098883573
"142",0.4,0.03,20,0.691349777321,0.826572604350382,0.477581232986968
"143",0.4,0.03,30,0.662641315519013,0.806418705803987,0.444975487815145
"144",0.4,0.03,40,0.669904076738609,0.7925570181942,0.44115534921006
"145",0.4,0.03,50,0.672353545734841,0.808692410153785,0.453819128171763
"146",0.4,0.03,60,0.667471736896197,0.775571644933693,0.43391360412637
"147",0.4,0.03,70,0.662658444672833,0.782239088788939,0.437992858205624
"148",0.4,0.03,80,0.660414525522439,0.774777183600713,0.434276052162231
"149",0.4,0.03,90,0.710585817060637,0.824695563124736,0.497705314009662
"150",0.4,0.03,100,0.677046933881466,0.784138755980861,0.4458853238265
"151",0.4,0.05,10,0.523860911270983,0.747638773819387,0.325476992143659
"152",0.4,0.05,20,0.657828023295649,0.843094982603323,0.446630151278039
"153",0.4,0.05,30,0.621976704350805,0.831407069870202,0.419123553035672
"154",0.4,0.05,40,0.684155532716684,0.857766096420243,0.477085138028537
"155",0.4,0.05,50,0.631551901336074,0.821455076089222,0.423826304753029
"156",0.4,0.05,60,0.63879753340185,0.838269178269178,0.432665964172813
"157",0.4,0.05,70,0.636416581020898,0.825586779921145,0.417950955433918
"158",0.4,0.05,80,0.655618362452895,0.838470319634703,0.43961113794152
"159",0.4,0.05,90,0.655515587529976,0.836489670666886,0.449137336093858
"160",0.4,0.05,100,0.650753682768071,0.841584862711623,0.439292798379717
"161",0.4,0.06,10,0.531329222336417,0.747097682477799,0.336249627901171
"162",0.4,0.06,20,0.662607057211374,0.838027332144979,0.458171686683412
"163",0.4,0.06,30,0.63878040424803,0.83956043956044,0.429847238542891
"164",0.4,0.06,40,0.626824254881809,0.823776840866752,0.424915824915825
"165",0.4,0.06,50,0.6603802672148,0.829497773635705,0.441571419932269
"166",0.4,0.06,60,0.653168893456663,0.860754985754986,0.442283811467306
"167",0.4,0.06,70,0.662761219595752,0.857365673542144,0.457216605146311
"168",0.4,0.06,80,0.646026036313806,0.852388842861088,0.436082393765835
"169",0.4,0.06,90,0.672267899965742,0.869679711944015,0.460124081650254
"170",0.4,0.06,100,0.643593696471394,0.835649023517054,0.431016042780749
"171",0.4,0.1,10,0.461442274751627,NA,0.349178884740309
"172",0.4,0.1,20,0.679582048646797,0.795632239959076,0.481111111111111
"173",0.4,0.1,30,0.708187735525865,0.838490583413915,0.496225319396051
"174",0.4,0.1,40,0.689054470709147,0.84205013093902,0.544562361547576
"175",0.4,0.1,50,0.674683110654334,0.798119949241969,0.451070950468541
"176",0.4,0.1,60,0.715364850976362,0.827242701823708,0.461500248385494
"177",0.4,0.1,70,0.7034600890716,0.823726851851852,0.467017543859649
"178",0.4,0.1,80,0.686707776635834,0.811837121212121,0.509435009435009
"179",0.4,0.1,90,0.667643028434395,0.795361344537815,0.409637730690362
"180",0.4,0.1,100,0.677115450496745,0.808090537466529,0.418956043956044
"181",0.5,0.01,10,0.686587872559096,0.79913264080437,0.488038950804908
"182",0.5,0.01,20,0.665107913669065,0.856648841354724,0.458522349980778
"183",0.5,0.01,30,0.703391572456321,0.833734739596716,0.496191007060572
"184",0.5,0.01,40,0.655618362452895,0.80667918579311,0.428734770744456
"185",0.5,0.01,50,0.662589928057554,0.787364675220529,0.438118485288297
"186",0.5,0.01,60,0.655532716683796,0.784216973910049,0.426816239316239
"187",0.5,0.01,70,0.710602946214457,0.804692891649413,0.497467071935157
"188",0.5,0.01,80,0.672216512504282,0.78457684737878,0.436124358033749
"189",0.5,0.01,90,0.667403220280918,0.769498002431822,0.434149184149184
"190",0.5,0.01,100,0.688968824940048,0.792444996467985,0.471955128205128
"191",0.5,0.02,10,0.662658444672833,0.843705598181302,0.4656238464378
"192",0.5,0.02,20,0.689020212401507,0.848332250379034,0.475202471403523
"193",0.5,0.02,30,0.693764988009592,0.837706924785576,0.491036866359447
"194",0.5,0.02,40,0.679410757108599,0.817597848498816,0.459875495189587
"195",0.5,0.02,50,0.655429941760877,0.788888888888889,0.435330372518807
"196",0.5,0.02,60,0.69141829393628,0.804698222208037,0.480599647266314
"197",0.5,0.02,70,0.70342583076396,0.790837202311366,0.485230352303523
"198",0.5,0.02,80,0.708136348064406,0.80938857093555,0.498520086280997
"199",0.5,0.02,90,0.667420349434738,0.777925029610423,0.43848828420257
"200",0.5,0.02,100,0.686656389174375,0.789283891130036,0.462147451756556
"201",0.5,0.03,10,0.69141829393628,0.880164338314923,0.475928616267599
"202",0.5,0.03,20,0.645957519698527,0.826115502854633,0.436967607555843
"203",0.5,0.03,30,0.665176430284344,0.827300544168014,0.448044062798161
"204",0.5,0.03,40,0.672250770811922,0.822544517469947,0.464244874622233
"205",0.5,0.03,50,0.691435423090099,0.844896430002813,0.474207933254217
"206",0.5,0.03,60,0.700942103460089,0.832988221602083,0.485470085470085
"207",0.5,0.03,70,0.691486810551559,0.817787596138112,0.471176885130373
"208",0.5,0.03,80,0.693833504624871,0.833711737988331,0.475498575498575
"209",0.5,0.03,90,0.684309695101062,0.810983397190294,0.466666666666667
"210",0.5,0.03,100,0.667420349434738,0.806852982886575,0.444381839581299
"211",0.5,0.05,10,0.559695101062007,0.796410058524664,0.369227201176395
"212",0.5,0.05,20,0.609952038369305,0.857815980033352,0.409140501597006
"213",0.5,0.05,30,0.643559438163755,0.83382820232328,0.43851719694717
"214",0.5,0.05,40,0.650719424460432,0.835521511814703,0.429295441982009
"215",0.5,0.05,50,0.662795477903392,0.845929008802143,0.44411050394657
"216",0.5,0.05,60,0.588420692017814,0.835461451901605,0.396780303030303
"217",0.5,0.05,70,0.610123329907503,0.813032801196359,0.39397041472653
"218",0.5,0.05,80,0.624460431654676,0.844226579520697,0.414947891684472
"219",0.5,0.05,90,0.622028091812264,0.813721743207159,0.403781512605042
"220",0.5,0.05,100,0.645957519698527,0.850174989329919,0.438891299407013
"221",0.5,0.06,10,0.523672490578965,0.792335115864528,0.355396065922382
"222",0.5,0.06,20,0.636382322713258,0.848029026077807,0.426162096761008
"223",0.5,0.06,30,0.645923261390887,0.834411764705882,0.446058879392213
"224",0.5,0.06,40,0.612470023980815,0.841470553799321,0.412612612612613
"225",0.5,0.06,50,0.605224391915039,0.855113108509848,0.41354487075711
"226",0.5,0.06,60,0.562161699212059,0.83701709751185,0.380805168895112
"227",0.5,0.06,70,0.62927372387804,0.821942865771628,0.415187691631559
"228",0.5,0.06,80,0.631586159643714,0.855799755799756,0.425306111064625
"229",0.5,0.06,90,0.629136690647482,0.830627145960339,0.417827216356628
"230",0.5,0.06,100,0.602929085303186,0.824742063492063,0.396545209176788
"231",0.5,0.1,10,0.473449811579308,NA,0.352413165416494
"232",0.5,0.1,20,0.6724049331963,0.807750982808191,0.437247748787809
"233",0.5,0.1,30,0.631791709489551,0.775464618001523,0.390430152725235
"234",0.5,0.1,40,0.533573141486811,0.827529532614278,0.369663742690058
"235",0.5,0.1,50,0.550188420692018,0.827822580645161,0.389396523716699
"236",0.5,0.1,60,0.567060637204522,0.845275805899006,0.397814350400557
"237",0.5,0.1,70,0.559695101062007,0.837974931453192,0.388467064486697
"238",0.5,0.1,80,0.550205549845838,0.866416040100251,0.391679707725155
"239",0.5,0.1,90,0.552655018842069,0.850839012978833,0.399895460871071
"240",0.5,0.1,100,0.571771154504967,0.83161068044789,0.388385262780911
"241",0.6,0.01,10,0.679359369647139,0.808670931895633,0.465703657349465
"242",0.6,0.01,20,0.667386091127098,0.851952574174796,0.463919829744871
"243",0.6,0.01,30,0.681825967797191,0.832291190076763,0.46593567251462
"244",0.6,0.01,40,0.660397396368619,0.812915919252659,0.439285714285714
"245",0.6,0.01,50,0.677064063035286,0.819874872690237,0.464739558135785
"246",0.6,0.01,60,0.672336416581021,0.798346141369397,0.444421202359536
"247",0.6,0.01,70,0.698509763617677,0.807592791668708,0.476292430527677
"248",0.6,0.01,80,0.679359369647139,0.806370263814522,0.46044847256056
"249",0.6,0.01,90,0.696077423775265,0.802866119945328,0.487076882034865
"250",0.6,0.01,100,0.693782117163412,0.805190840484623,0.47548137397194
"251",0.6,0.02,10,0.643610825625214,0.829087801345313,0.444010769592165
"252",0.6,0.02,20,0.664988009592326,0.846063231494148,0.457249485488572
"253",0.6,0.02,30,0.669886947584789,0.823515047845704,0.453352490421456
"254",0.6,0.02,40,0.679582048646797,0.819814709775005,0.465506883911386
"255",0.6,0.02,50,0.672216512504282,0.81090861966666,0.460045692309049
"256",0.6,0.02,60,0.686707776635834,0.825419067574646,0.466589319343557
"257",0.6,0.02,70,0.660294621445701,0.798496349759416,0.435049488127097
"258",0.6,0.02,80,0.662692702980473,0.798176582516764,0.43982540893296
"259",0.6,0.02,90,0.650668036998972,0.793962149656768,0.432263259051478
"260",0.6,0.02,100,0.674631723192874,0.796660236042788,0.454772829509672
"261",0.6,0.03,10,0.662778348749572,0.839080252804437,0.447712457548523
"262",0.6,0.03,20,0.667557382665296,0.846528066528067,0.455322063688999
"263",0.6,0.03,30,0.674717368961973,0.826030778164925,0.46140304270053
"264",0.6,0.03,40,0.670023980815348,0.838900866624392,0.462053571428571
"265",0.6,0.03,50,0.696128811236725,0.828440932596852,0.495026455026455
"266",0.6,0.03,60,0.669869818430969,0.826140367171295,0.450031678592725
"267",0.6,0.03,70,0.665227817745803,0.805303460011344,0.440001188263353
"268",0.6,0.03,80,0.653117505995204,0.826057956937024,0.438916250462449
"269",0.6,0.03,90,0.686587872559096,0.821104908729432,0.470134350036311
"270",0.6,0.03,100,0.684292565947242,0.821744816962802,0.466287239257121
"271",0.6,0.05,10,0.497499143542309,0.758521303258145,0.312987012987013
"272",0.6,0.05,20,0.610071942446043,0.826237161531279,0.422390261747691
"273",0.6,0.05,30,0.612384378211716,0.857433989012936,0.411985108109398
"274",0.6,0.05,40,0.593336759164097,0.848517246592799,0.386438909305385
"275",0.6,0.05,50,0.583812949640288,0.861875311396573,0.391977580287057
"276",0.6,0.05,60,0.588591983556012,0.85665401426271,0.391565597511674
"277",0.6,0.05,70,0.624563206577595,0.858479532163743,0.418549167634533
"278",0.6,0.05,80,0.579016786570743,0.820607848585391,0.379062281253205
"279",0.6,0.05,90,0.56461116820829,0.847799390902839,0.382532693481093
"280",0.6,0.05,100,0.579051044878383,0.829692446856626,0.383645652353769
"281",0.6,0.06,10,0.452004110996917,0.734482198676572,0.296825396825397
"282",0.6,0.06,20,0.535936964713943,0.80536779929363,0.360304267715152
"283",0.6,0.06,30,0.610174717368962,0.839484126984127,0.407251984126984
"284",0.6,0.06,40,0.58621103117506,0.847006508771215,0.389672723419333
"285",0.6,0.06,50,0.57668722165125,0.886718246292714,0.393082392640501
"286",0.6,0.06,60,0.562161699212059,0.852021857923497,0.381263926421088
"287",0.6,0.06,70,0.607708119218911,0.867609016999261,0.402297410192147
"288",0.6,0.06,80,0.571942446043165,0.827856025039124,0.375193798449612
"289",0.6,0.06,90,0.54309695101062,0.836748768472906,0.366754970920496
"290",0.6,0.06,100,0.591092840013703,0.829542483660131,0.388961510530138
"291",0.6,0.1,10,0.433264816718054,0.723420888055034,0.31331556084704
"292",0.6,0.1,20,0.585885577252484,0.73342360628491,0.271783625730994
"293",0.6,0.1,30,0.561973278520041,0.739307386482528,0.373809523809524
"294",0.6,0.1,40,0.576173347036656,0.767201058201058,0.489139045236606
"295",0.6,0.1,50,0.531277834874957,0.79610538373425,0.377014522120905
"296",0.6,0.1,60,0.535611510791367,0.737286176606565,0.364109217913566
"297",0.6,0.1,70,0.514097293593696,0.814058281530731,0.344680733463223
"298",0.6,0.1,80,0.559815005138746,0.766457586618877,0.425876411170529
"299",0.6,0.1,90,0.576498800959233,0.794313612433249,0.419400352733686
"300",0.6,0.1,100,0.612230215827338,0.791969069663229,0.502330561854371
