"","gota","lr","epocas","exactitud","precision","precision_secundaria"
"1",0.2,0.01,10,0.686553614251456,0.834973989595838,0.500519450777094
"2",0.2,0.01,20,0.693833504624871,0.83405619711564,0.485655635419786
"3",0.2,0.01,30,0.710517300445358,0.834800581719659,0.508926553672316
"4",0.2,0.01,40,0.665142171976704,0.814089003092439,0.434464252667942
"5",0.2,0.01,50,0.677081192189106,0.787602767602768,0.449943310657596
"6",0.2,0.01,60,0.665090784515245,0.777698641586341,0.440789473684211
"7",0.2,0.01,70,0.674597464885235,0.777227282331876,0.450205307348164
"8",0.2,0.01,80,0.688985954093868,0.774888566350291,0.468081494057725
"9",0.2,0.01,90,0.665039397053786,0.764174040769785,0.422653256704981
"10",0.2,0.01,100,0.66983556012333,0.774726295341426,0.442845268426664
"11",0.2,0.02,10,0.720109626584447,0.863087395696091,0.507469654528478
"12",0.2,0.02,20,0.679462144570058,0.802621646573259,0.462210399554253
"13",0.2,0.02,30,0.686587872559096,0.7971728887278,0.465990338164251
"14",0.2,0.02,40,0.684189791024323,0.792902229783418,0.461852689793866
"15",0.2,0.02,50,0.681774580335731,0.788496103569633,0.466910709158771
"16",0.2,0.02,60,0.693799246317232,0.785140897602904,0.475158084914182
"17",0.2,0.02,70,0.657896539910928,0.787869458128079,0.43030303030303
"18",0.2,0.02,80,0.684087016101405,0.799554342026802,0.466954926624738
"19",0.2,0.02,90,0.674580335731415,0.778178065484567,0.456060606060606
"20",0.2,0.02,100,0.667454607742378,0.77402850772416,0.432919621749409
"21",0.2,0.03,10,0.708136348064406,0.88686810505516,0.491217280954971
"22",0.2,0.03,20,0.69136690647482,0.848390954555338,0.486976911976912
"23",0.2,0.03,30,0.693850633778691,0.820691356835935,0.476540616246499
"24",0.2,0.03,40,0.708204864679685,0.824066850752244,0.499183006535948
"25",0.2,0.03,50,0.715330592668722,0.803560942174804,0.505448717948718
"26",0.2,0.03,60,0.69138403562864,0.79002543173159,0.467457180500659
"27",0.2,0.03,70,0.705738266529633,0.795389266817838,0.487937614070018
"28",0.2,0.03,80,0.696128811236725,0.780701126384116,0.479697305278701
"29",0.2,0.03,90,0.679427886262419,0.783293299788638,0.453968253968254
"30",0.2,0.03,100,0.705721137375814,0.794731182795699,0.489223337049424
"31",0.2,0.05,10,0.619698526892771,0.791641573823146,0.401335065181548
"32",0.2,0.05,20,0.674648852346694,0.863876863876864,0.466127045788669
"33",0.2,0.05,30,0.672285029119561,0.836755454641633,0.462157382847038
"34",0.2,0.05,40,0.681740322028092,0.82738988988989,0.473032714412025
"35",0.2,0.05,50,0.696145940390545,0.832417738316615,0.492767598842816
"36",0.2,0.05,60,0.696111682082905,0.839535707956761,0.488192024777391
"37",0.2,0.05,70,0.686570743405276,0.796814664563143,0.469773334434989
"38",0.2,0.05,80,0.689003083247688,0.815312083482806,0.471988160055311
"39",0.2,0.05,90,0.672285029119561,0.804631729234904,0.4451609692989
"40",0.2,0.05,100,0.657879410757109,0.790667641325536,0.437408560410982
"41",0.2,0.06,10,0.505258650222679,0.847130647130647,0.367593871243506
"42",0.2,0.06,20,0.634104145255224,0.819813037204342,0.423140996516735
"43",0.2,0.06,30,0.679530661185337,0.851326375298978,0.46455600783959
"44",0.2,0.06,40,0.674683110654334,0.853894535416274,0.459805427547363
"45",0.2,0.06,50,0.69141829393628,0.839110770947708,0.473433312719027
"46",0.2,0.06,60,0.712983898595409,0.855257858331144,0.498977073963018
"47",0.2,0.06,70,0.672267899965742,0.815539359843157,0.448605647346796
"48",0.2,0.06,80,0.686707776635834,0.828969942586964,0.462537055335968
"49",0.2,0.06,90,0.681791709489551,0.825787221392979,0.461655484474957
"50",0.2,0.06,100,0.684138403562864,0.802834420481479,0.463709677419355
"51",0.2,0.1,10,0.485817060637205,0.823418803418803,0.335704022988506
"52",0.2,0.1,20,0.672182254196643,0.810560460139112,0.472539682539683
"53",0.2,0.1,30,0.66985268927715,0.824785722884314,0.448631535947712
"54",0.2,0.1,40,0.660191846522782,0.821400515334339,0.455818234109865
"55",0.2,0.1,50,0.667488866050017,0.807288663360627,0.452360935967493
