"","hojas","min_data","bines","lerners....l","profundidad....p","lambda....l2","exactitud","precision","precision_secundaria","promedio"
"1",15,5,20,0.01,3,0,0.733812949640288,0.807560137457045,0.563492063492063,0.701621716863132
"2",15,5,20,0.01,3,0.5,0.729016786570743,0.804123711340206,0.555555555555556,0.696232017822168
"3",15,5,20,0.01,3,1,0.729016786570743,0.804123711340206,0.555555555555556,0.696232017822168
"4",15,5,20,0.01,3,1.5,0.733812949640288,0.807560137457045,0.563492063492063,0.701621716863132
"5",15,5,20,0.01,3,2,0.733812949640288,0.807560137457045,0.563492063492063,0.701621716863132
"6",15,5,20,0.01,3,2.5,0.724220623501199,0.800687285223368,0.547619047619048,0.690842318781205
"7",15,5,20,0.01,3,3,0.719424460431655,0.797250859106529,0.53968253968254,0.685452619740241
"8",15,5,20,0.01,4,0,0.743405275779376,0.814432989690722,0.579365079365079,0.712401114945059
"9",15,5,20,0.01,4,0.5,0.743405275779376,0.814432989690722,0.579365079365079,0.712401114945059
"10",15,5,20,0.01,4,1,0.729016786570743,0.804123711340206,0.555555555555556,0.696232017822168
"11",15,5,20,0.01,4,1.5,0.743405275779376,0.814432989690722,0.579365079365079,0.712401114945059
"12",15,5,20,0.01,4,2,0.748201438848921,0.81786941580756,0.587301587301587,0.717790813986023
"13",15,5,20,0.01,4,2.5,0.738609112709832,0.810996563573883,0.571428571428571,0.707011415904096
"14",15,5,20,0.01,4,3,0.738609112709832,0.810996563573883,0.571428571428571,0.707011415904096
"15",15,5,20,0.01,5,0,0.743405275779377,0.814432989690722,0.579365079365079,0.712401114945059
"16",15,5,20,0.01,5,0.5,0.743405275779377,0.814432989690722,0.579365079365079,0.712401114945059
"17",15,5,20,0.01,5,1,0.738609112709832,0.810996563573883,0.571428571428571,0.707011415904096
"18",15,5,20,0.01,5,1.5,0.724220623501199,0.800687285223368,0.547619047619048,0.690842318781205
"19",15,5,20,0.01,5,2,0.738609112709832,0.810996563573883,0.571428571428571,0.707011415904096
"20",15,5,20,0.01,5,2.5,0.738609112709832,0.810996563573883,0.571428571428571,0.707011415904096
"21",15,5,20,0.01,5,3,0.748201438848921,0.81786941580756,0.587301587301587,0.717790813986023
"22",15,5,20,0.01,6,0,0.729016786570743,0.804123711340206,0.555555555555556,0.696232017822168
"23",15,5,20,0.01,6,0.5,0.743405275779377,0.814432989690722,0.579365079365079,0.712401114945059
"24",15,5,20,0.01,6,1,0.733812949640288,0.807560137457045,0.563492063492063,0.701621716863132
"25",15,5,20,0.01,6,1.5,0.733812949640288,0.807560137457045,0.563492063492063,0.701621716863132
"26",15,5,20,0.01,6,2,0.733812949640288,0.807560137457045,0.563492063492063,0.701621716863132
"27",15,5,20,0.01,6,2.5,0.729016786570743,0.804123711340206,0.555555555555556,0.696232017822168
"28",15,5,20,0.01,6,3,0.738609112709832,0.810996563573883,0.571428571428571,0.707011415904096
"29",15,5,20,0.01,7,0,0.733812949640288,0.807560137457045,0.563492063492063,0.701621716863132
"30",15,5,20,0.01,7,0.5,0.752997601918465,0.821305841924399,0.595238095238095,0.723180513026986
"31",15,5,20,0.01,7,1,0.733812949640288,0.807560137457045,0.563492063492063,0.701621716863132
"32",15,5,20,0.01,7,1.5,0.733812949640288,0.807560137457045,0.563492063492063,0.701621716863132
"33",15,5,20,0.01,7,2,0.733812949640288,0.807560137457045,0.563492063492063,0.701621716863132
"34",15,5,20,0.01,7,2.5,0.719424460431655,0.797250859106529,0.53968253968254,0.685452619740241
"35",15,5,20,0.01,7,3,0.738609112709832,0.810996563573883,0.571428571428571,0.707011415904096
"36",15,5,20,0.01,8,0,0.743405275779377,0.814432989690722,0.579365079365079,0.712401114945059
"37",15,5,20,0.01,8,0.5,0.748201438848921,0.81786941580756,0.587301587301587,0.717790813986023
"38",15,5,20,0.01,8,1,0.729016786570743,0.804123711340206,0.555555555555556,0.696232017822168
"39",15,5,20,0.01,8,1.5,0.738609112709832,0.810996563573883,0.571428571428571,0.707011415904096
"40",15,5,20,0.01,8,2,0.729016786570743,0.804123711340206,0.555555555555556,0.696232017822168
"41",15,5,20,0.01,8,2.5,0.724220623501199,0.800687285223368,0.547619047619048,0.690842318781205
"42",15,5,20,0.01,8,3,0.738609112709832,0.810996563573883,0.571428571428571,0.707011415904096
"43",15,5,20,0.01,9,0,0.733812949640288,0.807560137457045,0.563492063492063,0.701621716863132
"44",15,5,20,0.01,9,0.5,0.743405275779377,0.814432989690722,0.579365079365079,0.712401114945059
"45",15,5,20,0.01,9,1,0.729016786570743,0.804123711340206,0.555555555555556,0.696232017822168
"46",15,5,20,0.01,9,1.5,0.738609112709832,0.810996563573883,0.571428571428571,0.707011415904096
"47",15,5,20,0.01,9,2,0.729016786570743,0.804123711340206,0.555555555555556,0.696232017822168
"48",15,5,20,0.01,9,2.5,0.719424460431655,0.797250859106529,0.53968253968254,0.685452619740241
"49",15,5,20,0.01,9,3,0.738609112709832,0.810996563573883,0.571428571428571,0.707011415904096
"50",15,5,20,0.01,10,0,0.729016786570743,0.804123711340206,0.555555555555556,0.696232017822168
"51",15,5,20,0.01,10,0.5,0.743405275779377,0.814432989690722,0.579365079365079,0.712401114945059
"52",15,5,20,0.01,10,1,0.729016786570743,0.804123711340206,0.555555555555556,0.696232017822168
"53",15,5,20,0.01,10,1.5,0.738609112709832,0.810996563573883,0.571428571428571,0.707011415904096
"54",15,5,20,0.01,10,2,0.729016786570743,0.804123711340206,0.555555555555556,0.696232017822168
