"auc","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth"
0.812788943390851,0.0431684362873202,0.483651116755791,15,30,6
0.808993497513669,0.129308911613422,0.562306895432994,20,38,5
0.794716889522607,0.0847393172334414,0.884218266573735,31,25,4
0.770516044431845,0.182898044771864,0.697426939255092,33,65,7
0.789177462030247,0.135677822636557,0.601346066344995,24,42,9
0.786927271534983,0.0623774626099039,0.705919674180914,22,53,3
0.772319978608939,0.0924770233216695,0.992655198306311,17,47,7
0.743799016067791,0.035008083891822,0.770676273542922,43,62,6
0.811559535714089,0.113579244552879,0.921986388226505,38,33,9
0.793962191021348,0.0691040001446381,0.457907467952464,27,34,4
0.805065596264386,0.144395479638013,0.824165209287312,34,45,5
0.813003381581416,0.180035290040658,0.633981261188164,28,11,9
0.807216577115162,0.0112255311430199,0.867861017361283,49,21,7
0.751994599267533,0.117475686450722,0.411433585172053,36,70,6
0.788979008075705,0.0568793930035317,0.665092706864234,8,58,8
0.806288839530065,0.103810435538064,0.96277484565042,12,14,8
0.774527083650999,0.190654822055134,0.819728409007657,47,52,10
0.812507105066771,0.157370465387474,0.524883910524659,44,16,3
0.811986388108853,0.022948022865341,0.509669611384161,41,22,10
0.775060293865186,0.170800040790462,0.739589946719352,11,59,3
0.784614597583131,0.0861534884011088,0.777446825288781,40,22,9
0.799810228806525,0.111518638539836,0.472700905079005,28,12,10
0.808916585562794,0.129226237016974,0.965977070240006,35,30,3
0.790157911297762,0.0246821456487554,0.553816781162365,13,26,6
0.802565095794351,0.164432272181701,0.747778175423951,28,14,6
0.784160632465236,0.116192455689464,0.703714604168508,20,32,4
0.79066463385535,0.0718145395198235,0.400077803567471,25,34,6
0.805766655371487,0.0439448622213512,0.512046956804809,9,25,7
0.811339477467382,0.167342769424624,0.491115366352121,41,20,7
0.813168097573991,0.18584908667424,0.59746668599839,47,14,7
0.808222522026391,0.137702808372673,0.490613220294858,24,29,10
0.79576534223984,0.0416587286162404,0.514119011562358,49,17,8
0.797467025662697,0.199937224608557,0.575564789477756,29,13,3
0.798092724137219,0.172043870950485,0.639075914772105,50,14,10
0.802163162291916,0.170720966381554,0.582436627559777,42,13,7
0.802200223361571,0.149727831712588,0.522089250914543,39,26,5
0.804821160511797,0.134539841107979,0.481002711367401,18,33,8
0.812788943390851,0.0431684362873202,0.483651116755791,15,30,6
0.808993497513669,0.129308911613422,0.562306895432994,20,38,5
0.794716889522607,0.0847393172334414,0.884218266573735,31,25,4
0.770516044431845,0.182898044771864,0.697426939255092,33,65,7
0.789177462030247,0.135677822636557,0.601346066344995,24,42,9
0.786927271534983,0.0623774626099039,0.705919674180914,22,53,3
0.772319978608939,0.0924770233216695,0.992655198306311,17,47,7
0.743799016067791,0.035008083891822,0.770676273542922,43,62,6
0.811559535714089,0.113579244552879,0.921986388226505,38,33,9
0.793962191021348,0.0691040001446381,0.457907467952464,27,34,4
0.805065596264386,0.144395479638013,0.824165209287312,34,45,5
0.813003381581416,0.180035290040658,0.633981261188164,28,11,9
0.807216577115162,0.0112255311430199,0.867861017361283,49,21,7
0.751994599267533,0.117475686450722,0.411433585172053,36,70,6
0.788979008075705,0.0568793930035317,0.665092706864234,8,58,8
0.806288839530065,0.103810435538064,0.96277484565042,12,14,8
0.774527083650999,0.190654822055134,0.819728409007657,47,52,10
0.812507105066771,0.157370465387474,0.524883910524659,44,16,3
0.811986388108853,0.022948022865341,0.509669611384161,41,22,10
0.775060293865186,0.170800040790462,0.739589946719352,11,59,3
0.784614597583131,0.0861534884011088,0.777446825288781,40,22,9
0.799810228806525,0.111518638539836,0.472700905079005,28,12,10
0.808916585562794,0.129226237016974,0.965977070240006,35,30,3
0.790157911297762,0.0246821456487554,0.553816781162365,13,26,6
0.802565095794351,0.164432272181701,0.747778175423951,28,14,6
0.784160632465236,0.116192455689464,0.703714604168508,20,32,4
0.79066463385535,0.0718145395198235,0.400077803567471,25,34,6
0.805766655371487,0.0439448622213512,0.512046956804809,9,25,7
0.811339477467382,0.167342769424624,0.491115366352121,41,20,7
0.813168097573991,0.18584908667424,0.59746668599839,47,14,7
0.808222522026391,0.137702808372673,0.490613220294858,24,29,10
0.79576534223984,0.0416587286162404,0.514119011562358,49,17,8
0.797467025662697,0.199937224608557,0.575564789477756,29,13,3
0.798092724137219,0.172043870950485,0.639075914772105,50,14,10
0.802163162291916,0.170720966381554,0.582436627559777,42,13,7
0.802200223361571,0.149727831712588,0.522089250914543,39,26,5
0.804821160511797,0.134539841107979,0.481002711367401,18,33,8
0.788123123520169,0.174281549991647,0.615017031200014,29,10,7
0.81365413003344,0.18275901149979,0.522216989640329,40,10,10
0.799326582998435,0.199802305240939,0.709862480861839,50,16,7
0.793917324956899,0.183201918717813,0.613896466783935,29,15,9
0.784575357299526,0.0482579042402818,0.884583084951341,20,56,8
0.798029815501977,0.142234642331234,0.525642842187101,37,10,10
0.814589969641391,0.185318636440038,0.755147414164041,45,12,8
0.807132453719909,0.021130924872918,0.498527952422822,24,28,10
0.794895380228278,0.184900067103683,0.524982064398969,46,10,3
0.798733850058764,0.187594937458723,0.810920268956153,33,43,6
0.789658285185702,0.174571613653347,0.513028770503563,44,11,10
0.769220730187323,0.142732976873415,0.549990642893128,38,67,5
0.81063001074494,0.187855912632933,0.460146134281624,23,15,10
0.822425780059104,0.151424879857704,0.731893617592456,47,15,7
0.790610366544123,0.168920057080163,0.702484379511693,46,19,6
0.811915153863152,0.0844072029587023,0.794525383973573,47,14,7
0.775672957902708,0.198150435937967,0.915664898394141,24,49,5
0.782991829019398,0.138575112736318,0.961963298130874,46,37,9
0.800291643999739,0.18976795801433,0.769749505632417,32,45,3
0.810882974214721,0.188156414142018,0.679915315077081,26,51,8
0.807800830412225,0.125348383092858,0.548904253592098,36,15,7
0.739510194170419,0.142798550222176,0.490511270594317,9,63,5
0.808913442879962,0.188841712426576,0.614952325989623,43,11,10
0.82109101991475,0.181926131111383,0.520949933247734,44,27,3
0.810387341438503,0.0432804140943129,0.659282072338142,25,12,10
0.760777067990129,0.18177804053842,0.742662956383662,45,11,7
0.7554073043604,0.096016657453787,0.52972459288477,8,50,6
0.805269298742529,0.161230894576416,0.438812446812494,11,18,7
0.772695471821973,0.0922929730244516,0.607886918212147,34,48,8
0.810366038524429,0.0896698944691851,0.521389652521024,43,11,7
0.805757270097172,0.157411723267643,0.915194139468484,39,61,9
0.789385330383501,0.156031484887917,0.83542746403208,17,30,5
0.790700951501841,0.0110312985888962,0.959685285198707,47,15,9
0.801852196596711,0.0439827737494558,0.603617150831036,48,25,9
0.754039346034922,0.0124514853802882,0.804870472926181,29,54,9
0.792788520251318,0.164686371386701,0.402052868039068,18,34,3
0.820949629466579,0.0417483079691837,0.963977169866674,24,19,3
0.799557642544671,0.0618303481391096,0.854433429454966,18,13,3
0.821785054897536,0.0568312226125575,0.459136432972411,46,24,7
0.79858392581337,0.122540946355672,0.741500041858572,26,15,9
0.791995758910581,0.0831136561982497,0.480176984998537,19,42,7
0.799051237353439,0.0850513046444254,0.97365816735616,45,31,7
0.78694608427905,0.0531141150209703,0.621457225575997,41,45,5
0.821613625440295,0.150873698727774,0.537187076585641,41,14,7
0.798294082290362,0.0262933875463041,0.99505219412297,24,44,3
0.769768943722833,0.0522156268074689,0.878924648608221,22,58,8
0.803914284574226,0.1512263700832,0.749263239562068,42,34,7
0.798068043960333,0.145724283953776,0.615055001531217,41,10,7
0.814671069786985,0.111239480521108,0.534530728992493,41,16,8
0.799959176335711,0.151570875829535,0.468073660747281,48,10,7
0.806691402666204,0.19478975109481,0.770252360725962,25,18,4
0.765150669542289,0.0562102214723104,0.759300758018345,16,65,7
0.790537307196866,0.115563586483034,0.729937703073953,45,18,8
0.778188072461355,0.176428544260289,0.727331935940543,42,51,10
0.793023727109512,0.150889617622571,0.625114480543505,36,15,4
0.807917422937369,0.119566738380881,0.674558458251087,23,37,7
0.810112217344688,0.149522766149903,0.694699466392664,46,14,8
0.772598535940652,0.049533273343097,0.763819903713884,36,70,10
0.799197890704295,0.17104455199288,0.517359369421233,32,28,3
0.803192351073736,0.144028444097771,0.964914532999415,19,26,6
0.788513233829797,0.199983355095194,0.699286627424352,42,10,10
0.800425173753329,0.150974346898783,0.821358205800101,38,15,7
0.769860121398987,0.0244002982764039,0.73688247241592,42,59,8
0.765694716744192,0.013543055842293,0.732805753504625,37,62,8
0.816279914189816,0.183535171910303,0.523376654753296,37,23,8
0.81188434770448,0.0463135074413661,0.421287758823298,50,38,6
0.800424721073449,0.152364401886074,0.632785799542072,45,16,7
0.783123383288395,0.170211276738134,0.489003356858576,15,49,8
0.779851673037432,0.0860537064734551,0.75929166040709,47,17,7
0.793125453281655,0.0320531632588245,0.69383757551359,10,41,7
0.759387571155658,0.0288799783382774,0.565547951499093,46,45,3
0.813013079292815,0.155497736701805,0.487273430234892,45,14,4
0.806037598811877,0.18104802325914,0.522405958070558,36,24,8
0.770676020069722,0.0689635728472401,0.772565460859239,36,68,8
0.815720274365741,0.0938626739787823,0.828199132863386,20,13,7
0.823888717796357,0.153223331090532,0.521823024429776,38,17,3
0.770352906700016,0.0546797823219141,0.5682410307582,11,58,7
0.772339471641783,0.0568738794882869,0.539154631437116,44,60,7
0.815334966505565,0.120240676051811,0.539562012254028,37,19,4
0.80211576562379,0.167289803100606,0.520778126029776,46,20,4
0.820074719316168,0.187076527469099,0.523508994749779,39,18,3
0.78638082828688,0.193462278511971,0.757871390877757,40,40,9
0.799012258209627,0.196920890252034,0.447917117009917,49,35,5
0.816155831220122,0.187253204692963,0.554959017192082,44,25,8
0.821935875863051,0.139819922961632,0.495548205655363,44,23,7
0.80714968943842,0.0357182297965465,0.843149449203024,44,24,3
0.80184310412716,0.152334332275655,0.536489760447392,34,20,7
0.788518627055096,0.0720238696747866,0.474336513407048,46,23,8
0.792673185903683,0.0103237861817842,0.858269900795212,38,32,5
0.786685019478575,0.162037762350517,0.960037018819479,32,56,7
0.800187240229292,0.125111769491478,0.491891553022712,36,35,4
0.776089610521635,0.144398152372837,0.879914687395701,49,55,10
