"","gota","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.01,10,0.653117505995204,0.884423215355865,0.450383210946591,0.662641310765887
"2",0.2,0.01,20,0.698612538540596,0.838859370064528,0.494306670631381,0.677259526412168
"3",0.2,0.01,30,0.710602946214457,0.820439079660911,0.495259642318466,0.675433889397945
"4",0.2,0.01,40,0.727303871188763,0.822327905276389,0.518170426065163,0.689267400843439
"5",0.2,0.01,50,0.698561151079137,0.801916156840149,0.483172514619883,0.661216607513056
"6",0.2,0.01,60,0.693816375471052,0.80190013899425,0.461571696421293,0.652429403628865
"7",0.2,0.01,70,0.715244946899623,0.813519813519814,0.516884531590414,0.681883097336617
"8",0.2,0.01,80,0.705686879068174,0.779974684813394,0.494547964113181,0.660069842664917
"9",0.2,0.01,90,0.688883179170949,0.797666273942503,0.482551721682156,0.656367058265203
"10",0.2,0.01,100,0.693799246317232,0.778843782370641,0.469480519480519,0.647374516056131
"11",0.2,0.02,10,0.696180198698184,0.832478097622028,0.469274908711528,0.66597773501058
"12",0.2,0.02,20,0.69138403562864,0.818531979780256,0.479154795821462,0.663023603743453
"13",0.2,0.02,30,0.696231586159644,0.795550614844093,0.487024500322373,0.65960223377537
"14",0.2,0.02,40,0.677012675573827,0.800824577181259,0.454598155467721,0.644145136074269
"15",0.2,0.02,50,0.665056526207605,0.778888888888889,0.434183673469388,0.626043029521961
"16",0.2,0.02,60,0.677046933881466,0.785513689696033,0.448493308943872,0.637017977507124
"17",0.2,0.02,70,0.686656389174375,0.78711004546467,0.464049276549277,0.645938570396107
"18",0.2,0.02,80,0.677064063035286,0.763844955924164,0.439473684210526,0.626794234389992
"19",0.2,0.02,90,0.660294621445701,0.771137533027395,0.419160646714826,0.616864267062641
"20",0.2,0.02,100,0.662658444672833,0.764813937462314,0.424242424242424,0.617238268792524
"21",0.2,0.03,10,0.518653648509764,0.785949381454999,0.377481810334197,0.56069494676632
"22",0.2,0.03,20,0.720126755738267,0.825958790664673,0.512138663053297,0.686074736485412
"23",0.2,0.03,30,0.691503939705379,0.815980779663644,0.472176833696442,0.659887184355155
"24",0.2,0.03,40,0.662744090441932,0.813496307613955,0.439585822381521,0.638608740145803
"25",0.2,0.03,50,0.693867762932511,0.820633914102525,0.472402597402597,0.662301424812545
"26",0.2,0.03,60,0.693730729701953,0.816203703703704,0.473250317075983,0.66106158349388
"27",0.2,0.03,70,0.684275436793422,0.802712490761271,0.456365272154746,0.647784399903146
"28",0.2,0.03,80,0.713018156903049,0.825167334149145,0.507894736842105,0.682026742631433
"29",0.2,0.03,90,0.701010620075368,0.817990304110963,0.487654118930715,0.668885014372348
"30",0.2,0.03,100,0.703323055841041,0.805323446072225,0.490620490620491,0.666422330844586
"31",0.2,0.05,10,0.557314148681055,0.720625115715416,0.298106060606061,0.52534844166751
"32",0.2,0.05,20,0.686553614251456,0.763588588588589,0.493894835611195,0.648012346150413
"33",0.2,0.05,30,0.679513532031518,0.801070243920318,0.466526904262753,0.649036893404863
"34",0.2,0.05,40,0.665142171976704,0.780954648613632,0.436841403227958,0.627646074606098
"35",0.2,0.05,50,0.622045220966084,0.811746828839894,0.407728714191818,0.613840254665932
"36",0.2,0.05,60,0.65777663583419,0.853627902774013,0.447405734362256,0.65293675765682
"37",0.2,0.05,70,0.6172147995889,0.814433007691435,0.401364297415869,0.611004034898735
"38",0.2,0.05,80,0.657879410757109,0.801609449981543,0.438946511380934,0.632811790706529
"39",0.2,0.05,90,0.708187735525865,0.792925627831288,0.506515706515707,0.66920968995762
"40",0.2,0.05,100,0.677081192189106,0.7823367202782,0.458593525696239,0.639337146054515
"41",0.2,0.06,10,0.674563206577595,0.760237418896767,0.450347567030784,0.628382730835049
"42",0.2,0.06,20,0.648458376156218,0.828153117391765,0.433039066463724,0.636550186670569
"43",0.2,0.06,30,0.689054470709147,0.842929582489266,0.474317891559271,0.668767314919228
"44",0.2,0.06,40,0.667471736896197,0.820422906999361,0.442657342657343,0.643517328850967
"45",0.2,0.06,50,0.634001370332306,0.837518037518038,0.425174344769342,0.632231250873228
"46",0.2,0.06,60,0.617180541281261,0.795303498614195,0.400575347383858,0.604353129093104
"47",0.2,0.06,70,0.629136690647482,0.815397385349658,0.426573426573427,0.623702500856855
"48",0.2,0.06,80,0.624306269270298,0.817352288767897,0.42331370004326,0.621657419360485
"49",0.2,0.06,90,0.61726618705036,0.7883902219589,0.400180558924192,0.601945655977817
"50",0.2,0.06,100,0.658016443987667,0.810615848406546,0.442916533418612,0.637182941937608
"51",0.2,0.1,10,0.71289825282631,0.712741897881251,NA,NA
"52",0.2,0.1,20,0.708119218910586,0.708119218910586,NA,NA
"53",0.2,0.1,30,0.708119218910586,0.708119218910586,NA,NA
"54",0.2,0.1,40,0.708119218910586,0.708119218910586,NA,NA
"55",0.2,0.1,50,0.708119218910586,0.708119218910586,NA,NA
"56",0.2,0.1,60,0.708119218910586,0.708119218910586,NA,NA
"57",0.2,0.1,70,0.708119218910586,0.708119218910586,NA,NA
"58",0.2,0.1,80,0.708119218910586,0.708119218910586,NA,NA
"59",0.2,0.1,90,0.708119218910586,0.708119218910586,NA,NA
"60",0.2,0.1,100,0.708119218910586,0.708119218910586,NA,NA
"61",0.3,0.01,10,0.636382322713258,0.840923807668401,0.44290293040293,0.640069686928197
"62",0.3,0.01,20,0.701010620075368,0.820258159443553,0.499023062360956,0.673430613959959
"63",0.3,0.01,30,0.705806783144913,0.817214051719372,0.486857971802892,0.669959602222392
"64",0.3,0.01,40,0.729650565262076,0.832377755660936,0.526997398736529,0.69634190655318
"65",0.3,0.01,50,0.703323055841041,0.816068943975921,0.494968553459119,0.671453517758694
"66",0.3,0.01,60,0.679376498800959,0.780320264061733,0.457089502467654,0.638928755110115
"67",0.3,0.01,70,0.708153477218225,0.801597707847708,0.495452703045042,0.668401296036992
"68",0.3,0.01,80,0.698492634463857,0.800972648822583,0.492943223053975,0.664136168780138
"69",0.3,0.01,90,0.69138403562864,0.775804011485318,0.464702377520229,0.643963474878062
"70",0.3,0.01,100,0.686587872559096,0.785195613375473,0.460955710955711,0.644246398963427
"71",0.3,0.02,10,0.653168893456663,0.834362139917695,0.437821036803811,0.641784023392723
"72",0.3,0.02,20,0.684275436793422,0.832010920266898,0.469952844090775,0.662079733717032
"73",0.3,0.02,30,0.686724905789654,0.819150480504021,0.468626329891591,0.658167238728422
"74",0.3,0.02,40,0.686639260020555,0.804692503935298,0.469642857142857,0.653658207032903
