"","gota1","gota2","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.2,0.01,10,0.676691729323308,0.721351445489376,0.648555009898954,0.682199394903879
"2",0.2,0.2,0.01,20,0.674185463659148,0.69944247594249,0.644295519295519,0.672641152965719
"3",0.2,0.2,0.01,30,0.614035087719298,0.670309653916211,0.5682261208577,0.61752362083107
"4",0.2,0.2,0.01,40,0.631578947368421,0.661918328584995,0.594872827950991,0.629456701301469
"5",0.2,0.2,0.01,50,0.656641604010025,0.689739455364455,0.618725336716076,0.655035465363519
"6",0.2,0.2,0.01,60,0.639097744360902,0.669914494442405,0.60039941902687,0.636470552610059
"7",0.2,0.2,0.01,70,0.649122807017544,0.685780811549254,0.60775062092306,0.647551413163286
"8",0.2,0.2,0.01,80,0.651629072681704,0.686139986139986,0.611415752741775,0.649728270521155
"9",0.2,0.2,0.01,90,0.644110275689223,0.693844696969697,0.599442586399108,0.645799186352676
"10",0.2,0.2,0.01,100,0.646616541353383,0.690306318787039,0.601857989230945,0.646260283123789
"11",0.2,0.2,0.02,10,0.681704260651629,0.698119658119658,0.658826410658307,0.679550109809865
"12",0.2,0.2,0.02,20,0.671679197994987,0.713115713115713,0.626828437605063,0.670541116238588
"13",0.2,0.2,0.02,30,0.654135338345865,0.688888888888889,0.618837759462759,0.653953995565838
"14",0.2,0.2,0.02,40,0.659147869674185,0.69652673878026,0.61847835908557,0.658050989180005
"15",0.2,0.2,0.02,50,0.679197994987469,0.699935621528161,0.649798893916541,0.676310836810723
"16",0.2,0.2,0.02,60,0.639097744360902,0.682058682058682,0.598009950248756,0.639722125556114
"17",0.2,0.2,0.02,70,0.654135338345865,0.682043954548547,0.621807795698925,0.652662362864446
"18",0.2,0.2,0.02,80,0.644110275689223,0.676021809710379,0.608616405995438,0.642916163798347
"19",0.2,0.2,0.02,90,0.646616541353383,0.689083442814786,0.606163985268463,0.647287989812211
"20",0.2,0.2,0.02,100,0.641604010025063,0.681920235651579,0.602382472663421,0.641968906113354
"21",0.2,0.2,0.03,10,0.659147869674185,0.681780968574847,0.629068462401796,0.656665766883609
"22",0.2,0.2,0.03,20,0.644110275689223,0.695260686928589,0.614399874540607,0.651256945719473
"23",0.2,0.2,0.03,30,0.661654135338346,0.67299851580234,0.64624606918239,0.660299573441025
"24",0.2,0.2,0.03,40,0.684210526315789,0.697127333680134,0.664197530864198,0.681845130286707
"25",0.2,0.2,0.03,50,0.661654135338346,0.696525950257294,0.629451904028175,0.662543996541271
"26",0.2,0.2,0.03,60,0.641604010025063,0.677807486631016,0.603520857252201,0.64097745130276
"27",0.2,0.2,0.03,70,0.646616541353383,0.681614306981715,0.611140248640249,0.646457032325116
