"","gota","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.01,10,0.657947927372388,0.838981807511737,0.472706437478935,0.656545390787687
"2",0.2,0.01,20,0.717728674203494,0.849044403163177,0.516350500295542,0.694374525887405
"3",0.2,0.01,30,0.705806783144913,0.817966603255126,0.50962000962001,0.677797798673349
"4",0.2,0.01,40,0.686622130866735,0.797008430456311,0.473453749315818,0.652361436879622
"5",0.2,0.01,50,0.696163069544364,0.798801688234419,0.48875276854928,0.661239175442688
"6",0.2,0.01,60,0.700976361767729,0.782192878807264,0.49440180806001,0.659190349545001
"7",0.2,0.01,70,0.700976361767729,0.787764084417687,0.489196310935441,0.659312252373619
"8",0.2,0.01,80,0.71289825282631,0.793128148667134,0.506724971841251,0.670917124444898
"9",0.2,0.01,90,0.720109626584447,0.814104507782494,0.524743230625584,0.686319121664175
"10",0.2,0.01,100,0.720126755738267,0.787366742781478,0.514698352459263,0.674063950326336
"11",0.2,0.02,10,0.684121274409044,0.852890873675709,0.487397823481845,0.674803323855533
"12",0.2,0.02,20,0.712881123672491,0.854295734032855,0.509450710108605,0.692209189271317
"13",0.2,0.02,30,0.720195272353546,0.829350203061543,0.513299893600851,0.687615123005313
"14",0.2,0.02,40,0.700924974306269,0.800171419666511,0.489824236817761,0.663640210263514
"15",0.2,0.02,50,0.686570743405276,0.796304418453541,0.477513482280431,0.65346288137975
"16",0.2,0.02,60,0.710500171291538,0.791503870638369,0.513561143348377,0.671855061759428
"17",0.2,0.02,70,0.71293251113395,0.801416489792658,0.508999882546394,0.674449627824334
"18",0.2,0.02,80,0.681774580335731,0.778626928626929,0.464596949891068,0.641666152951243
"19",0.2,0.02,90,0.688985954093868,0.786892688109727,0.473586773586774,0.649821805263456
"20",0.2,0.02,100,0.693782117163412,0.787419229084085,0.485958362761914,0.655719903003137
"21",0.2,0.03,10,0.459746488523467,NA,0.348934655829545,NA
"22",0.2,0.03,20,0.684104145255224,0.840490506250031,0.484156861863718,0.669583837789658
"23",0.2,0.03,30,0.715279205207263,0.822751473221749,0.517640178878569,0.685223619102527
"24",0.2,0.03,40,0.715381980130182,0.82474971836674,0.513568376068376,0.684566691521766
"25",0.2,0.03,50,0.708256252141144,0.807677798392084,0.505458593693888,0.673797548075705
"26",0.2,0.03,60,0.710517300445358,0.804913632119514,0.512762762762763,0.676064565109212
"27",0.2,0.03,70,0.696180198698184,0.802478860187652,0.486031746031746,0.661563601639194
"28",0.2,0.03,80,0.710500171291538,0.807664661597246,0.50739837398374,0.675187735624175
"29",0.2,0.03,90,0.662726961288112,0.772405324518277,0.427789279963193,0.620973855256527
"30",0.2,0.03,100,0.677012675573827,0.786990912367418,0.462793773840285,0.64226578726051
"31",0.2,0.05,10,0.64828708461802,0.813195435847001,0.428752436647173,0.630078319037398
"32",0.2,0.05,20,0.691332648167181,0.812231779504255,0.480225988700565,0.661263472124
"33",0.2,0.05,30,0.724871531346351,0.825625743563452,0.533597883597884,0.694698386169229
"34",0.2,0.05,40,0.710517300445358,0.838239538239538,0.516242937853107,0.688333258846001
"35",0.2,0.05,50,0.703323055841041,0.809045194062616,0.507017543859649,0.673128597921102
