"","gota","lr","epocas","exactitud","precision","precision_secundaria"
"1",0.2,0.01,10,0.528674203494347,0.746897546897547,0.33256633522048
"2",0.2,0.01,20,0.605224391915039,0.765240654151255,0.383921931399757
"3",0.2,0.01,30,0.607708119218911,0.786113179448995,0.392901234567901
"4",0.2,0.01,40,0.650719424460432,0.787025768161671,0.426346639284645
"5",0.2,0.01,50,0.648424117848578,0.784003259222639,0.415099054246462
"6",0.2,0.01,60,0.643576567317575,0.778449328449328,0.416313131313131
"7",0.2,0.01,70,0.655515587529976,0.77460731162172,0.414027005155066
"8",0.2,0.01,80,0.674717368961973,0.7876280535855,0.451851851851852
"9",0.2,0.01,90,0.633898595409387,0.763722092659997,0.397273199172897
"10",0.2,0.01,100,0.650719424460432,0.767961876832845,0.407290735311445
"11",0.2,0.02,10,0.600445357999315,0.742562670719887,0.354854162231211
"12",0.2,0.02,20,0.624443302500856,0.785979114746238,0.412803886320835
"13",0.2,0.02,30,0.636382322713258,0.783756166314306,0.407473177950425
"14",0.2,0.02,40,0.655515587529976,0.789968652037618,0.428963070472504
"15",0.2,0.02,50,0.645889003083248,0.77566272094622,0.405353115404473
"16",0.2,0.02,60,0.648355601233299,0.772367703218767,0.40942599261927
"17",0.2,0.02,70,0.66031175059952,0.776408955738663,0.421519938303615
"18",0.2,0.02,80,0.672285029119561,0.772664764830663,0.434437543133195
"19",0.2,0.02,90,0.689020212401507,0.782014618109859,0.459940384358989
"20",0.2,0.02,100,0.672182254196643,0.767366643628402,0.436756924992219
"21",0.2,0.03,10,0.588454950325454,0.731960364054298,0.339275103980986
"22",0.2,0.03,20,0.636467968482357,0.788508239727752,0.421400724032303
"23",0.2,0.03,30,0.650702295306612,0.784295793049386,0.421975308641975
"24",0.2,0.03,40,0.63881466255567,0.780545112781955,0.423232323232323
"25",0.2,0.03,50,0.672267899965742,0.798043951880269,0.448826958249451
"26",0.2,0.03,60,0.643576567317575,0.782126410175191,0.417723123732252
"27",0.2,0.03,70,0.657947927372388,0.788977306218686,0.430533751962323
"28",0.2,0.03,80,0.65082219938335,0.775457860688493,0.412210338680927
"29",0.2,0.03,90,0.669869818430969,0.780114124378217,0.438624338624339
"30",0.2,0.03,100,0.669921205892429,0.776912032929114,0.442009691885991
"31",0.2,0.05,10,0.547841726618705,0.790228054801547,0.357733802178247
