"","gota1","gota2","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.2,0.01,10,0.646616541353383,0.684797928731195,0.618055555555556,0.649823341880045
"2",0.2,0.2,0.01,20,0.649122807017544,0.669925151632469,0.623336547733848,0.647461502127953
"3",0.2,0.2,0.01,30,0.6265664160401,0.657713846227798,0.591095380029806,0.625125214099235
"4",0.2,0.2,0.01,40,0.634085213032581,0.681904975251749,0.590486882648548,0.635492356977626
"5",0.2,0.2,0.01,50,0.606516290726817,0.661674347158218,0.561368209255533,0.609852949046856
"6",0.2,0.2,0.01,60,0.604010025062657,0.660418348130213,0.557984777162859,0.607471050118576
"7",0.2,0.2,0.01,70,0.566416040100251,0.617064083457526,0.524260430082348,0.569246851213375
"8",0.2,0.2,0.01,80,0.588972431077694,0.654079254079254,0.542106042106042,0.59505257575433
"9",0.2,0.2,0.01,90,0.601503759398496,0.655369740648632,0.560867446393762,0.60591364881363
"10",0.2,0.2,0.01,100,0.601503759398496,0.641334946039151,0.561618988391376,0.601485897943008
"11",0.2,0.2,0.02,10,0.641604010025063,0.707427055702918,0.591799899446958,0.646943655058313
"12",0.2,0.2,0.02,20,0.6265664160401,0.64938080495356,0.599100314889789,0.625015845294483
"13",0.2,0.2,0.02,30,0.604010025062657,0.647073412698413,0.565803437079275,0.605628958280115
"14",0.2,0.2,0.02,40,0.609022556390977,0.64883275928052,0.570558526440879,0.609471280704126
"15",0.2,0.2,0.02,50,0.581453634085213,0.633352849336456,0.542582689641513,0.585796391021061
"16",0.2,0.2,0.02,60,0.601503759398496,0.648276423435322,0.566462425158077,0.605414202663965
"17",0.2,0.2,0.02,70,0.596491228070175,0.643783660177103,0.55506001737345,0.598444968540243
"18",0.2,0.2,0.02,80,0.614035087719298,0.660399527082383,0.576108703792864,0.616847772864848
"19",0.2,0.2,0.02,90,0.576441102756892,0.614771965124078,0.541157361940017,0.577456809940329
"20",0.2,0.2,0.02,100,0.588972431077694,0.634307436445712,0.550313180827887,0.591197682783764
"21",0.2,0.2,0.03,10,0.641604010025063,0.677124262268575,0.613340863896831,0.644023045396823
"22",0.2,0.2,0.03,20,0.646616541353383,0.653080424671671,0.635964912280702,0.645220626101919
"23",0.2,0.2,0.03,30,0.631578947368421,0.662461200696495,0.60016693914999,0.631402362404969
"24",0.2,0.2,0.03,40,0.621553884711779,0.655986490711263,0.581054131054131,0.619531502159058
"25",0.2,0.2,0.03,50,0.629072681704261,0.664027367048738,0.599119208494209,0.630739752415736
"26",0.2,0.2,0.03,60,0.634085213032581,0.662407831172133,0.59904152483198,0.631844856345565
