"auc","learning_rate","feature_fraction","num_leaves","min_data_in_leaf","max_depth"
0.793546820923317,0.0431684362873202,0.483651116755791,15,30,6
0.777692858738638,0.129308911613422,0.562306895432994,20,38,5
0.787526294690784,0.0847393172334414,0.884218266573735,31,25,4
0.773951736132163,0.182898044771864,0.697426939255092,33,65,7
0.764442314327294,0.135677822636557,0.601346066344995,24,42,9
0.784960932886931,0.0623774626099039,0.705919674180914,22,53,3
0.776290366173977,0.0924770233216695,0.992655198306311,17,47,7
0.739904165257505,0.035008083891822,0.770676273542922,43,62,6
0.798815799668323,0.113579244552879,0.921986388226505,38,33,9
0.768276118444176,0.0691040001446381,0.457907467952464,27,34,4
0.782801738107723,0.144395479638013,0.824165209287312,34,45,5
0.782144655397998,0.180035290040658,0.633981261188164,28,11,9
0.78782825020978,0.0112255311430199,0.867861017361283,49,21,7
0.762888506515276,0.117475686450722,0.411433585172053,36,70,6
0.792254436458727,0.0568793930035317,0.665092706864234,8,58,8
0.790021823767821,0.103810435538064,0.96277484565042,12,14,8
0.764099502832229,0.190654822055134,0.819728409007657,47,52,10
0.783506879961227,0.157370465387474,0.524883910524659,44,16,3
0.79576330715761,0.022948022865341,0.509669611384161,41,22,10
0.759880897182909,0.170800040790462,0.739589946719352,11,59,3
0.785908570862456,0.0895654332886962,0.638311529148743,27,68,4
0.774932259151091,0.0676413935863716,0.566558958842931,22,57,7
0.769652899138583,0.101329192677836,0.91717767436977,38,23,9
0.78762053306171,0.0364468420231459,0.915352647929452,33,49,3
0.778516527831507,0.0426039790911437,0.547044511860982,10,35,5
0.768454565919805,0.117334036129892,0.942813044908084,33,40,3
0.79483811216942,0.085172538940548,0.436151759556215,20,14,9
0.781153366821691,0.0386893953826689,0.924834226232666,42,33,10
0.794469480766527,0.0810017930025072,0.558337012695102,45,19,9
0.784022406131108,0.0981695279284078,0.710429030244099,31,21,6
0.794653703912192,0.155563033039959,0.818967008114792,8,38,4
0.758261763573427,0.132393803089575,0.449186941967718,30,37,3
0.763835914301266,0.0176797970501426,0.409313803905831,26,17,9
0.78514062589265,0.152419230106818,0.447643748338148,47,28,8
0.768835971096359,0.065800552266473,0.961923461958952,26,14,5
0.772954300231883,0.0106703232211643,0.624375985851046,37,23,9
0.779503079148257,0.115537611907169,0.440793403488025,13,46,10
0.789473298271841,0.0782521278117248,0.540250143304141,46,34,10
0.772642077271761,0.165328137325034,0.945869490121072,42,32,10
0.780864311443581,0.199851506444409,0.927971533202164,10,33,9
0.784189087427194,0.143314979089867,0.595111842396323,43,33,9
0.774821305689172,0.191790459293849,0.60959554686565,33,48,6
0.782641574934739,0.146609162369885,0.735068368822243,32,54,6
0.807071386277563,0.155557804589348,0.608890850838274,38,22,7
0.776293992748413,0.0203210909361555,0.941792635561386,30,11,8
0.768706664880582,0.182034732384856,0.588752323029889,29,54,4
0.779154976349381,0.0248737348281103,0.598700787648605,28,40,4
0.762085911516782,0.119041242402545,0.956481511635659,39,65,9
0.7726064255412,0.0779115220667072,0.946844149264973,24,52,4
